uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,88,144,264,320,176
1,88,63,129,104,41
1,64,88,64,88,0
1,88,72,224,208,136
1,80,104,312,336,232
1,72,105,88,121,16
1,72,80,120,128,48
1,72,88,72,88,0
1,128,81,328,281,200
1,88,72,88,72,0
1,71,87,96,112,25
1,80,80,104,104,24
1,48,72,88,112,40
1,88,80,136,128,48
1,80,112,120,152,40
1,72,88,264,280,192
1,64,72,88,96,24
1,72,48,128,104,56
1,104,72,256,224,152
1,64,88,96,120,32
1,80,88,120,128,40
1,64,88,96,120,32
1,80,88,176,184,96
1,72,120,72,120,0
1,80,96,112,128,32
1,79,87,80,88,1
1,80,104,184,208,104
1,104,87,89,72,-15
1,81,63,81,63,0
1,88,88,88,88,0
1,80,64,248,232,168
0,88,144,264,320,176
0,88,63,129,104,41
0,64,88,64,88,0
0,88,72,224,208,136
0,80,104,312,336,232
0,72,105,88,121,16
0,72,80,120,128,48
0,72,88,72,88,0
0,128,81,328,281,200
0,88,72,88,72,0
0,71,87,96,112,25
0,80,80,104,104,24
0,48,72,88,112,40
0,88,80,136,128,48
0,80,112,120,152,40
0,72,88,264,280,192
0,64,72,88,96,24
0,72,48,128,104,56
0,104,72,256,224,152
0,64,88,96,120,32
0,80,88,120,128,40
0,64,88,96,120,32
0,80,88,176,184,96
0,72,120,72,120,0
0,80,96,112,128,32
0,79,87,80,88,1
0,80,104,184,208,104
0,104,87,89,72,-15
0,81,63,81,63,0
0,88,88,88,88,0
0,80,64,248,232,168
0,96,88,96,88,0
0,176,112,64,0,-112
0,136,104,32,0,-104
0,113,73,40,0,-73
0,96,88,96,88,0
0,152,119,65,32,-87
0,111,64,47,0,-64
0,104,104,56,56,-48
0,152,104,48,0,-104
0,168,112,72,16,-96
0,120,112,24,16,-96
0,144,112,120,88,-24
0,128,112,80,64,-48
0,160,96,64,0,-96
0,120,72,81,33,-39
0,136,112,56,32,-80
0,145,112,48,15,-97
0,104,144,48,88,-56
0,121,128,97,104,-24
0,104,88,80,64,-24
0,136,112,48,24,-88
0,144,112,49,17,-95
0,88,88,152,152,64
0,128,128,48,48,-80
0,168,128,40,0,-128
0,136,80,88,32,-48
0,152,104,64,16,-88
0,128,120,40,32,-88
0,167,73,95,1,-72
0,128,96,72,40,-56
0,128,128,80,80,-48
