uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,96,80,40,24,-56
1,112,72,112,72,0
1,112,73,207,168,95
1,89,80,153,144,64
1,104,104,104,104,0
1,128,96,96,64,-32
1,120,80,160,120,40
1,120,96,96,72,-24
0,64,96,152,184,88
0,81,119,201,239,120
0,72,80,176,184,104
0,96,80,240,224,144
0,56,88,161,193,105
0,72,88,160,176,88
0,64,120,176,232,112
0,64,88,160,184,96
0,97,63,161,127,64
0,88,96,72,80,-16
0,80,105,80,105,0
0,80,64,968,952,888
0,80,80,96,96,16
0,80,88,40,48,-40
0,64,80,64,80,0
0,104,88,64,48,-40
