uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,72,88,264,280,192
1,64,72,88,96,24
1,72,48,128,104,56
1,104,72,256,224,152
1,64,88,96,120,32
1,80,88,120,128,40
1,64,88,96,120,32
1,80,88,176,184,96
0,64,96,152,184,88
0,81,119,201,239,120
0,72,80,176,184,104
0,96,80,240,224,144
0,56,88,161,193,105
0,72,88,160,176,88
0,64,120,176,232,112
0,64,88,160,184,96
0,80,81,176,177,96
0,80,96,48,64,-32
0,81,80,32,31,-49
0,99,120,19,40,-80
0,112,128,56,72,-56
0,96,101,43,48,-53
0,128,112,48,32,-80
0,96,102,42,48,-54
