uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,129,87,73,31,-56
1,128,61,131,64,3
1,200,128,72,0,-128
1,151,120,119,88,-32
1,135,88,127,80,-8
1,168,96,72,0,-96
1,184,120,80,16,-104
1,159,96,63,0,-96
1,136,71,81,16,-55
1,160,112,96,48,-64
1,112,111,169,168,57
1,136,136,40,40,-96
1,151,80,95,24,-56
1,128,112,200,184,72
1,176,72,104,0,-72
1,144,120,56,32,-88
1,120,71,120,71,0
1,152,120,80,48,-72
1,152,96,112,56,-40
1,135,79,136,80,1
1,128,112,88,72,-40
2,96,64,120,88,24
2,112,64,128,80,16
2,96,63,97,64,1
2,128,56,168,96,40
2,96,72,120,96,24
2,80,63,81,64,1
2,96,72,136,112,40
2,96,64,136,104,40
2,104,56,232,184,128
2,104,80,104,80,0
2,96,56,96,56,0
2,80,56,160,136,80
2,88,49,112,73,24
2,96,56,112,72,16
2,96,56,96,56,0
2,96,64,112,80,16
3,95,104,87,96,-8
3,120,120,80,80,-40
3,104,128,80,104,-24
3,136,88,120,72,-16
3,120,118,74,72,-46
3,64,104,144,184,80
3,136,112,64,40,-72
3,127,79,128,80,1
3,87,63,120,96,33
3,72,136,88,152,16
3,48,120,88,160,40
3,136,136,120,120,-16
3,96,128,96,128,0
3,96,111,97,112,1
3,120,80,120,80,0
3,104,80,104,80,0
3,96,127,97,128,1
3,112,120,112,120,0
3,119,128,191,200,72
4,64,64,160,160,96
4,80,80,120,120,40
4,64,56,112,104,48
5,136,128,136,128,0
5,160,88,208,136,48
5,120,112,112,104,-8
5,144,121,208,185,64
5,136,128,80,72,-56
5,112,104,176,168,64
5,111,128,143,160,32
5,128,120,128,120,0
5,136,128,104,96,-32
5,128,128,112,112,-16
5,144,120,888,864,744
6,64,88,88,112,24
6,88,72,128,112,40
6,104,101,161,158,57
6,104,64,136,96,32
6,128,55,129,56,1
6,126,72,126,72,0
6,88,64,88,64,0
6,96,80,88,72,-8
6,144,63,145,64,1
6,104,72,127,95,23
6,80,72,160,152,80
6,72,64,112,104,40
6,152,64,88,0,-64
7,116,88,88,60,-28
7,200,160,488,448,288
7,136,136,208,208,72
7,120,88,120,88,0
7,176,111,177,112,1
7,136,88,160,112,24
8,128,144,256,272,128
8,144,112,136,104,-8
7,200,128,88,16,-112
7,112,91,112,91,0
8,144,104,192,152,48
8,104,72,264,232,160
8,120,104,192,176,72
9,112,64,112,64,0
9,63,71,104,112,41
9,96,72,72,48,-24
10,96,136,272,312,176
10,128,72,168,112,40
10,136,152,136,152,0
10,151,128,207,184,56
10,113,128,96,111,-17
10,144,168,176,200,32
10,97,151,97,151,0
10,88,56,120,88,32
10,128,104,176,152,48
10,80,137,80,137,0
10,184,96,120,32,-64
10,112,127,113,128,1
11,80,72,160,152,80
11,56,56,136,136,80
11,72,56,72,56,0
12,88,48,88,48,0
12,72,88,96,112,24
12,79,80,111,112,32
12,88,112,184,208,96
12,80,79,80,79,0
12,88,56,120,88,32
12,73,63,129,119,56
12,112,120,184,192,72
12,80,80,80,80,0
12,80,88,136,144,56
12,79,80,95,96,16
12,96,95,96,95,0
13,103,72,671,640,568
13,24,80,776,832,752
13,152,96,80,24,-72
13,80,128,80,128,0
13,24,119,936,1031,912
13,112,88,96,72,-16
13,103,95,104,96,1
13,48,64,688,704,640
13,88,112,248,272,160
13,96,136,136,176,40
13,72,112,88,128,16
14,80,80,32,32,-48
14,96,64,96,64,0
14,104,72,104,72,0
14,96,80,96,80,0
14,72,80,72,80,0
14,81,72,56,47,-25
14,120,56,80,16,-40
14,96,24,112,40,16
14,96,104,72,80,-24
14,81,87,81,87,0
14,80,88,96,104,16
14,64,64,64,64,0
14,112,72,176,136,64
15,96,80,136,120,40
15,136,103,153,120,17
15,128,87,233,192,105
15,112,72,160,120,48
15,88,128,88,128,0
15,72,72,431,431,359
15,112,80,160,128,48
15,73,56,144,127,71
15,88,80,88,80,0
15,96,96,448,448,352
15,63,56,136,129,73
15,80,72,80,72,0
15,88,104,128,144,40
15,80,72,80,72,0
15,80,72,104,96,24
15,96,80,96,80,0
16,80,104,232,256,152
16,128,136,88,96,-40
16,104,111,105,112,1
16,88,104,112,128,24
16,87,96,127,136,40
