uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,96,176,240,320,144
1,72,128,200,256,128
1,80,136,176,232,96
1,104,136,240,272,136
1,56,104,192,240,136
1,64,72,168,176,104
1,88,112,240,264,152
1,56,96,168,208,112
1,79,114,207,242,128
1,72,72,216,216,144
1,64,88,176,200,112
1,61,104,166,209,105
1,64,105,256,297,192
1,80,88,168,176,88
1,104,128,200,224,96
1,56,104,184,232,128
1,73,95,185,207,112
1,72,112,192,232,120
1,80,96,192,208,112
1,64,104,168,208,104
1,72,120,176,224,104
1,64,136,168,240,104
1,104,146,222,264,118
1,64,120,192,248,128
1,56,88,184,216,128
1,72,120,184,232,112
1,48,120,160,232,112
2,84,96,214,226,130
2,63,87,896,920,833
2,112,112,224,224,112
2,104,104,520,520,416
2,88,104,208,224,120
2,88,120,208,240,120
2,80,120,304,344,224
2,80,71,321,312,241
3,112,64,433,385,321
3,71,72,175,176,104
3,120,64,304,248,184
3,77,72,208,203,131
3,80,48,176,144,96
3,72,112,168,208,96
3,70,72,190,192,120
3,48,47,144,143,96
3,96,64,224,192,128
3,72,112,184,224,112
4,64,64,2704,2704,2640
4,72,72,184,184,112
4,56,72,176,192,120
5,144,152,296,304,152
5,104,151,209,256,105
5,112,136,256,280,144
5,128,192,272,336,144
5,96,136,200,240,104
5,112,96,271,255,159
6,103,137,255,289,152
6,64,72,696,704,632
6,64,120,208,264,144
6,112,136,216,240,104
6,86,80,254,248,168
6,72,104,192,224,120
7,88,136,184,232,96
7,64,160,168,264,104
7,88,112,208,232,120
7,72,136,184,248,112
7,72,120,184,232,112
7,80,128,200,248,120
7,71,127,176,232,105
7,72,144,176,248,104
7,88,151,185,248,97
8,96,80,216,200,120
8,72,80,224,232,152
9,88,71,473,456,385
9,95,81,279,265,184
9,48,80,176,208,128
9,48,72,168,192,120
10,64,88,184,208,120
10,88,79,504,495,416
10,64,96,160,192,96
11,72,80,184,192,112
11,89,80,272,263,183
11,72,88,192,208,120
11,79,88,207,216,128
11,80,88,192,200,112
11,72,120,184,232,112
12,72,110,160,198,88
12,48,48,161,161,113
12,56,72,144,160,88
12,67,56,152,141,85
12,119,88,231,200,112
12,56,48,144,136,88
13,63,72,335,344,272
13,96,96,192,192,96
13,72,80,200,208,128
13,80,64,184,168,104
13,80,56,192,168,112
14,144,96,96,48,-48
14,128,128,88,88,-40
14,176,88,136,48,-40
14,119,97,79,57,-40
14,104,96,288,280,184
14,68,96,172,200,104
14,128,88,64,24,-64
14,160,72,128,40,-32
14,64,64,160,160,96
15,96,128,208,240,112
15,112,104,272,264,160
15,96,144,216,264,120
15,96,47,200,151,104
16,72,88,192,208,120
16,96,72,192,168,96
16,80,72,191,183,111
16,120,80,224,184,104
16,80,88,192,200,112
16,80,96,193,209,113
17,111,136,231,256,120
17,72,104,176,208,104
17,96,144,184,232,88
17,88,120,168,200,80
17,24,112,128,216,104
17,80,120,184,224,104
17,56,80,176,200,120
17,72,120,160,208,88
17,120,128,696,704,576
17,64,112,184,232,120
17,95,112,231,248,136
18,72,69,187,184,115
18,72,65,160,153,88
18,80,81,176,177,96
18,72,82,174,184,102
18,64,88,152,176,88
18,96,88,312,304,216
18,48,63,161,176,113
18,64,80,224,240,160
18,72,64,192,184,120
18,64,72,176,184,112
19,64,88,144,168,80
19,72,64,152,144,80
19,72,96,128,152,56
19,96,112,184,200,88
19,88,128,160,200,72
19,80,80,152,152,72
20,111,109,74,72,-37
20,104,104,224,224,120
20,135,120,215,200,80
20,175,137,127,89,-48
21,78,112,182,216,104
21,72,128,192,248,120
21,78,128,176,226,98
21,88,64,224,200,136
21,72,104,192,224,120
21,72,56,216,200,144
21,80,104,208,232,128
22,40,104,120,184,80
22,80,87,177,184,97
22,55,96,151,192,96
22,80,96,160,176,80
22,88,88,176,176,88
22,88,89,176,177,88
22,88,96,176,184,88
22,64,80,128,144,64
22,64,104,152,192,88
22,62,40,182,160,120
22,88,112,184,208,96
23,121,81,264,224,143
23,72,104,160,192,88
23,88,47,441,400,353
24,80,144,248,312,168
24,80,128,192,240,112
24,121,129,504,512,383
24,55,136,279,360,224
24,80,128,208,256,128
24,72,120,168,216,96
26,105,64,256,215,151
26,88,104,208,224,120
26,64,80,184,200,120
27,128,199,985,1056,857
27,113,112,376,375,263
27,89,127,1049,1087,960
27,88,87,192,191,104
28,40,80,256,296,216
28,64,96,152,184,88
28,64,97,144,177,80
28,56,104,128,176,72
28,241,144,792,695,551
28,49,80,152,183,103
28,56,80,136,160,80
28,48,80,112,144,64
28,72,105,120,153,48
28,48,72,120,144,72
28,64,64,128,128,64
29,143,128,287,272,144
29,112,168,256,312,144
29,112,152,264,304,152
29,64,144,192,272,128
30,72,72,160,160,88
30,88,64,280,256,192
30,72,72,192,192,120
