uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,112,154,86,128,-26
1,144,136,104,96,-40
1,128,120,128,120,0
1,176,114,192,130,16
1,97,96,41,40,-56
1,129,104,80,55,-49
1,88,136,88,136,0
1,95,113,63,81,-32
1,104,120,64,80,-40
1,96,96,56,56,-40
1,104,96,64,56,-40
1,112,88,64,40,-48
1,127,120,103,96,-24
1,144,120,72,48,-72
1,72,136,80,144,8
1,104,116,72,84,-32
1,96,112,56,72,-40
1,120,120,72,72,-48
1,168,136,200,168,32
1,96,96,56,56,-40
2,64,88,144,168,80
2,64,104,120,160,56
2,65,79,369,383,304
2,88,88,416,416,328
2,80,96,160,176,80
2,97,57,97,57,0
2,120,80,200,160,80
2,104,112,144,152,40
2,120,152,216,248,96
2,64,120,144,200,80
2,128,111,296,279,168
2,120,88,344,312,224
2,103,105,191,193,88
2,104,88,120,104,16
2,64,112,144,192,80
2,64,120,120,176,56
2,120,96,296,272,176
2,72,88,264,280,192
2,120,144,184,208,64
2,80,104,168,192,88
2,72,136,152,216,80
2,137,96,224,183,87
2,112,88,328,304,216
2,80,88,152,160,72
2,88,120,168,200,80
2,129,89,232,192,103
2,80,64,120,104,40
3,112,97,64,49,-48
3,112,96,72,56,-40
3,112,88,88,64,-24
3,152,88,96,32,-56
3,152,144,80,72,-72
3,127,96,79,48,-48
3,144,95,145,96,1
3,96,72,64,40,-32
3,104,130,88,114,-16
3,144,104,88,48,-56
3,144,104,88,48,-56
3,104,160,80,136,-24
3,96,88,48,40,-48
3,136,96,96,56,-40
3,136,64,96,24,-40
3,120,56,80,16,-40
3,112,104,80,72,-32
3,168,112,120,64,-48
3,120,104,80,64,-40
3,121,128,72,79,-49
3,112,104,64,56,-48
4,80,72,192,184,112
4,71,71,192,192,121
4,56,64,104,112,48
4,72,64,120,112,48
4,88,80,192,184,104
4,72,80,192,200,120
4,80,79,185,184,105
4,64,72,168,176,104
4,79,74,199,194,120
4,80,80,208,208,128
4,55,56,167,168,112
4,80,80,184,184,104
5,168,160,120,112,-48
5,144,192,104,152,-40
5,136,152,96,112,-40
5,144,144,296,296,152
5,232,136,168,72,-64
5,168,168,256,256,88
5,136,144,96,104,-40
5,143,144,143,144,0
5,136,104,200,168,64
5,128,152,104,128,-24
5,128,152,72,96,-56
5,136,119,137,120,1
5,136,136,192,192,56
5,112,144,184,216,72
6,152,104,96,48,-56
6,120,104,120,104,0
6,152,136,88,72,-64
6,104,176,72,144,-32
6,166,136,96,66,-70
6,144,120,112,88,-32
6,96,104,375,383,279
6,168,127,169,128,1
6,136,136,88,88,-48
6,144,120,96,72,-48
6,136,95,137,96,1
6,168,120,168,120,0
6,160,136,112,88,-48
6,128,120,96,88,-32
7,200,112,136,48,-64
7,160,104,56,0,-104
7,200,121,80,1,-120
7,184,129,56,1,-128
7,208,144,64,0,-144
7,176,96,104,24,-72
7,160,80,96,16,-64
7,208,128,80,0,-128
7,216,169,48,1,-168
7,192,152,80,40,-112
7,144,104,72,32,-72
8,168,88,144,64,-24
8,106,134,106,134,0
8,144,88,120,64,-24
7,208,136,72,0,-136
8,120,80,80,40,-40
8,128,96,104,72,-24
8,112,120,56,64,-56
8,168,128,128,88,-40
8,120,144,96,120,-24
8,128,96,96,64,-32
8,112,159,113,160,1
8,144,88,112,56,-32
8,128,96,392,360,264
8,128,72,112,56,-16
8,104,48,104,48,0
9,88,112,56,80,-32
9,88,95,89,96,1
9,96,96,96,96,0
9,120,112,104,96,-16
9,72,136,72,136,0
10,95,167,96,168,1
10,128,128,80,80,-48
10,152,145,80,73,-72
10,105,152,144,191,39
10,128,112,88,72,-40
10,208,152,168,112,-40
10,144,112,103,71,-41
10,136,192,768,824,632
10,201,119,153,71,-48
10,136,87,73,24,-63
10,160,104,96,40,-64
11,80,96,120,136,40
11,77,56,104,83,27
11,96,95,201,200,105
11,104,73,248,217,144
11,72,72,120,120,48
11,104,96,224,216,120
11,88,64,144,120,56
11,104,64,120,80,16
11,81,56,144,119,63
11,72,56,104,88,32
11,96,88,192,184,96
12,64,80,112,128,48
12,88,80,136,128,48
12,88,96,648,656,560
12,87,111,184,208,97
12,88,88,136,136,48
12,39,71,104,136,65
12,80,80,144,144,64
12,80,72,152,144,72
12,88,71,209,192,121
12,80,72,136,128,56
12,80,104,112,136,32
12,72,96,152,176,80
12,72,64,120,112,48
12,64,128,128,192,64
12,80,112,104,136,24
12,89,96,137,144,48
12,96,56,256,216,160
12,72,72,120,120,48
12,96,112,144,160,48
12,112,48,160,96,48
12,64,80,128,144,64
12,72,64,120,112,48
12,96,72,152,128,56
12,72,63,137,128,65
12,88,72,144,128,56
12,80,64,152,136,72
12,96,72,128,104,32
13,175,65,111,1,-64
13,88,128,200,240,112
13,120,120,72,72,-48
13,176,80,128,32,-48
13,88,88,168,168,80
13,176,112,96,32,-80
13,152,32,120,0,-32
13,144,112,120,88,-24
13,200,120,112,32,-88
13,152,120,80,48,-72
13,128,119,64,55,-64
14,119,96,47,24,-72
14,128,120,72,64,-56
14,151,96,103,48,-48
14,120,152,80,112,-40
14,112,88,72,48,-40
14,127,103,64,40,-63
14,168,64,104,0,-64
14,128,113,88,73,-40
14,152,120,96,64,-56
14,80,136,56,112,-24
14,88,136,88,136,0
14,121,113,56,48,-65
14,128,64,88,24,-40
14,88,129,88,129,0
14,136,120,152,136,16
15,112,128,176,192,64
15,80,96,144,160,64
15,96,80,176,160,80
15,80,80,168,168,88
15,72,112,136,176,64
15,72,89,144,161,72
15,80,64,144,128,64
15,80,104,144,168,64
15,48,90,136,178,88
15,24,64,120,160,96
15,72,72,184,184,112
16,48,112,88,152,40
16,136,64,105,33,-31
16,104,104,776,776,672
16,72,104,200,232,128
16,152,120,104,72,-48
16,144,112,96,64,-48
16,144,184,144,184,0
16,120,120,136,136,16
16,120,72,88,40,-32
16,104,152,104,152,0
16,120,136,120,136,0
16,120,184,80,144,-40
16,136,112,56,32,-80
16,128,112,88,72,-40
16,87,55,408,376,321
16,144,103,89,48,-55
16,160,104,120,64,-40
16,168,112,112,56,-56
17,208,119,137,48,-71
17,200,88,144,32,-56
17,96,168,448,520,352
17,176,109,331,264,155
17,136,144,232,240,96
17,200,137,144,81,-56
17,200,176,104,80,-96
17,207,160,135,88,-72
17,232,152,152,72,-80
17,207,152,128,73,-79
17,196,136,100,40,-96
17,200,160,120,80,-80
17,136,135,280,279,144
17,200,96,160,56,-40
18,48,72,88,112,40
18,61,88,88,115,27
18,56,66,144,154,88
18,96,80,168,152,72
18,56,88,144,176,88
18,64,64,160,160,96
18,64,80,88,104,24
18,72,96,112,136,40
18,72,80,168,176,96
18,72,48,176,152,104
18,72,80,168,176,96
18,64,56,168,160,104
18,72,65,175,168,103
18,80,80,168,168,88
18,56,48,160,152,104
18,80,72,184,176,104
18,112,80,208,176,96
18,48,63,136,151,88
18,56,63,168,175,112
18,64,58,158,152,94
18,88,80,88,80,0
19,96,80,48,32,-48
19,104,95,81,72,-23
19,72,120,112,160,40
19,96,47,176,127,80
19,88,112,168,192,80
19,112,96,80,64,-32
19,112,96,48,32,-64
19,97,88,73,64,-24
19,72,144,56,128,-16
19,104,96,56,48,-48
19,136,80,56,0,-80
19,120,80,72,32,-48
19,112,95,48,31,-64
19,104,48,104,48,0
20,120,135,120,135,0
20,121,96,81,56,-40
20,136,72,96,32,-40
20,144,99,88,43,-56
20,97,119,241,263,144
20,72,143,73,144,1
20,136,112,72,48,-64
20,96,153,96,153,0
20,120,121,64,65,-56
20,152,120,88,56,-64
20,112,144,144,176,32
20,32,143,1,112,-31
20,112,120,232,240,120
20,128,104,80,56,-48
21,104,112,104,112,0
21,136,80,112,56,-24
21,120,80,88,48,-32
21,136,88,112,64,-24
21,168,88,184,104,16
21,95,104,63,72,-32
21,136,160,88,112,-48
21,120,112,72,64,-48
21,127,96,96,65,-31
21,135,103,80,48,-55
21,145,63,145,63,0
21,144,128,120,104,-24
21,128,88,104,64,-24
21,95,97,95,97,0
21,136,128,104,96,-32
21,120,120,96,96,-24
21,128,160,48,80,-80
21,119,152,71,104,-48
21,120,128,80,88,-40
21,120,128,88,96,-32
21,80,152,96,168,16
21,168,96,120,48,-48
22,64,80,40,56,-24
22,64,104,64,104,0
22,64,104,40,80,-24
22,103,87,80,64,-23
22,87,72,55,40,-32
22,88,63,88,63,0
22,96,80,72,56,-24
22,72,96,32,56,-40
22,88,79,89,80,1
22,80,80,40,40,-40
22,48,47,1,0,-47
22,88,88,176,176,88
22,87,127,64,104,-23
22,96,138,72,114,-24
22,112,88,64,40,-48
22,64,31,65,32,1
22,88,88,56,56,-32
22,71,120,47,96,-24
22,80,120,56,96,-24
22,72,112,160,200,88
22,86,112,54,80,-32
22,88,136,48,96,-40
22,87,136,47,96,-40
22,87,88,55,56,-32
22,72,96,49,73,-23
23,264,168,96,0,-168
23,120,80,88,48,-32
23,64,128,160,224,96
23,88,120,168,200,80
23,120,120,56,56,-64
23,136,120,88,72,-48
23,96,72,192,168,96
23,80,71,81,72,1
24,128,128,96,96,-32
24,168,88,104,24,-64
24,184,160,112,88,-72
24,184,128,104,48,-80
24,136,144,168,176,32
24,184,144,72,32,-112
24,135,97,119,81,-16
24,144,105,96,57,-48
24,168,112,80,24,-88
24,192,128,136,72,-56
24,160,136,96,72,-64
24,176,128,72,24,-104
24,144,112,104,72,-40
24,152,104,80,32,-72
25,135,144,87,96,-48
25,96,90,240,234,144
25,128,80,104,56,-24
25,120,120,72,72,-48
26,104,200,80,176,-24
26,96,169,120,193,24
26,96,168,72,144,-24
26,136,120,104,88,-32
26,136,136,72,72,-64
26,120,192,104,176,-16
26,128,144,80,96,-48
26,88,159,89,160,1
26,136,184,104,152,-32
26,136,152,88,104,-48
26,104,96,184,176,80
26,168,169,72,73,-96
26,160,136,72,48,-88
26,128,128,256,256,128
26,96,160,120,184,24
26,120,160,72,112,-48
26,136,176,48,88,-88
26,96,88,200,192,104
26,152,136,96,80,-56
26,112,184,88,160,-24
27,120,96,120,96,0
27,120,80,232,192,112
27,96,88,200,192,104
27,97,176,248,327,151
27,120,144,312,336,192
27,136,127,105,96,-31
27,104,120,72,88,-32
27,88,120,224,256,136
27,112,120,264,272,152
27,88,128,224,264,136
27,160,136,104,80,-56
27,80,88,56,64,-24
27,104,112,224,232,120
27,96,96,224,224,128
27,120,96,264,240,144
27,168,136,104,72,-64
27,80,136,80,136,0
27,128,152,592,616,464
27,136,160,136,160,0
27,152,161,96,105,-56
27,88,104,208,224,120
27,160,136,976,952,816
27,128,152,168,192,40
28,100,112,59,71,-41
28,72,88,176,192,104
28,64,128,128,192,64
28,80,168,112,200,32
28,112,136,72,96,-40
28,112,136,80,104,-32
28,112,120,72,80,-40
28,112,136,72,96,-40
28,144,104,80,40,-64
28,80,128,360,408,280
28,128,184,64,120,-64
28,96,120,48,72,-48
28,104,208,80,184,-24
28,96,207,97,208,1
29,192,144,144,96,-48
29,146,136,112,102,-34
29,149,208,125,184,-24
29,136,245,104,213,-32
29,249,143,161,55,-88
29,192,136,144,88,-48
29,200,144,144,88,-56
29,191,177,150,136,-41
29,231,160,167,96,-64
29,240,152,144,56,-96
29,208,160,136,88,-72
29,144,152,120,128,-24
29,224,152,144,72,-80
29,223,168,159,104,-64
29,176,128,152,104,-24
29,192,144,128,80,-64
29,168,152,112,96,-56
30,16,45,2,31,-14
30,56,64,240,248,184
30,88,56,200,168,112
30,56,64,104,112,48
30,112,72,144,104,32
30,64,56,88,80,24
30,72,48,152,128,80
