uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,88,136,56,104,-32
1,96,144,200,248,104
1,104,145,104,145,0
1,64,135,65,136,1
1,144,144,88,88,-56
1,128,152,72,96,-56
1,128,144,80,96,-48
1,104,128,88,112,-16
1,80,151,121,192,41
1,105,103,73,71,-32
1,112,192,112,192,0
1,87,88,71,72,-16
1,128,160,96,128,-32
1,112,206,90,184,-22
2,48,88,104,144,56
2,64,104,120,160,56
2,48,79,89,120,41
2,56,104,128,176,72
2,56,104,96,144,40
2,56,72,88,104,32
2,64,80,96,112,32
2,64,80,112,128,48
2,64,88,120,144,56
3,128,112,128,112,0
3,72,152,96,176,24
3,64,104,88,128,24
3,104,144,104,144,0
3,111,128,87,104,-24
3,56,144,104,192,48
3,64,104,72,112,8
3,128,112,104,88,-24
3,168,80,136,48,-32
3,128,152,128,152,0
3,112,112,88,88,-24
3,96,120,128,152,32
3,93,123,93,123,0
4,72,80,72,80,0
4,64,56,96,88,32
4,80,72,152,144,72
4,79,96,103,120,24
4,64,56,112,104,48
4,72,47,72,47,0
4,70,64,350,344,280
4,72,56,120,104,48
5,112,152,24,64,-88
5,128,136,104,112,-24
5,120,96,121,97,1
5,120,112,104,96,-16
5,136,135,176,175,40
5,120,111,97,88,-23
5,120,144,120,144,0
5,120,168,144,192,24
5,121,112,121,112,0
5,104,128,104,128,0
5,120,144,96,120,-24
6,69,83,101,115,32
6,72,72,96,96,24
6,64,88,128,152,64
6,88,80,88,80,0
6,64,64,208,208,144
6,80,80,160,160,80
7,63,88,63,88,0
7,96,200,232,336,136
7,80,208,112,240,32
7,112,200,136,224,24
7,88,200,40,152,-48
8,88,120,88,120,0
7,88,96,160,168,72
8,88,136,128,176,40
8,95,120,135,160,40
8,80,144,64,128,-16
8,80,160,120,200,40
8,72,96,296,320,224
8,72,96,176,200,104
8,80,128,136,184,56
8,96,80,160,144,64
8,73,120,144,191,71
8,72,133,139,200,67
8,80,96,168,184,88
8,80,128,128,176,48
8,88,112,152,176,64
8,96,144,120,168,24
8,72,120,120,168,48
9,55,80,135,160,80
9,48,80,88,120,40
10,80,128,48,96,-32
10,144,128,192,176,48
10,144,152,87,95,-57
10,128,136,200,208,72
10,128,96,160,128,32
10,80,88,80,88,0
10,128,104,104,80,-24
11,96,88,112,104,16
11,104,80,104,80,0
11,88,96,88,96,0
12,104,72,104,72,0
12,112,72,152,112,40
12,88,56,72,40,-16
12,80,47,80,47,0
12,80,64,104,88,24
12,80,56,80,56,0
12,72,73,72,73,0
12,112,72,40,0,-72
12,80,73,71,64,-9
12,71,96,71,96,0
12,96,79,72,55,-24
12,55,24,103,72,48
13,80,104,480,504,400
13,72,80,144,152,72
13,72,112,288,328,216
13,80,24,128,72,48
13,72,96,104,128,32
13,80,88,120,128,40
13,72,167,72,167,0
13,80,135,81,136,1
13,96,104,96,104,0
13,112,80,96,64,-16
14,88,104,88,104,0
14,72,104,72,104,0
14,72,111,72,111,0
14,64,96,64,96,0
14,72,72,48,48,-24
14,48,144,112,208,64
14,88,96,56,64,-32
14,64,113,64,113,0
14,80,81,104,105,24
14,56,128,87,159,31
14,80,152,48,120,-32
14,71,104,48,81,-23
14,72,167,73,168,1
14,40,120,120,200,80
14,80,144,104,168,24
15,88,88,88,88,0
15,80,71,80,71,0
15,96,80,128,112,32
15,72,88,104,120,32
15,89,95,121,127,32
15,96,72,176,152,80
15,80,80,104,104,24
15,88,64,136,112,48
15,96,80,168,152,72
15,64,72,96,104,32
15,80,72,104,96,24
15,72,80,288,296,216
15,88,88,112,112,24
15,88,112,56,80,-32
15,87,104,119,136,32
15,64,64,136,136,72
15,64,96,80,112,16
16,104,112,104,112,0
16,81,80,152,151,71
16,80,88,80,88,0
16,96,79,97,80,1
16,72,80,160,168,88
16,72,168,96,192,24
16,56,96,136,176,80
17,112,88,80,56,-32
17,96,144,184,232,88
17,152,192,200,240,48
17,143,160,127,144,-16
17,144,215,97,168,-47
17,160,79,161,80,1
17,95,144,327,376,232
17,120,199,1929,2008,1809
18,80,97,80,97,0
18,79,102,137,160,58
18,80,47,89,56,9
18,64,88,112,136,48
18,71,88,71,88,0
18,72,88,112,128,40
18,80,80,48,48,-32
18,72,55,104,87,32
18,40,72,72,104,32
18,80,96,120,136,40
18,136,95,136,95,0
18,81,80,65,64,-16
19,88,120,64,96,-24
19,80,104,152,176,72
19,80,64,104,88,24
19,90,80,96,86,6
19,96,96,96,96,0
19,88,71,113,96,25
19,80,128,128,176,48
19,96,88,72,64,-24
19,72,96,72,96,0
19,88,88,40,40,-48
19,64,75,93,104,29
19,88,96,136,144,48
19,88,88,184,184,96
19,104,96,72,64,-32
19,88,96,112,120,24
19,88,96,88,96,0
19,112,88,128,104,16
19,112,96,72,56,-40
19,104,72,104,72,0
19,96,76,84,64,-12
19,103,64,135,96,32
20,128,168,152,192,24
20,56,128,96,168,40
20,96,136,96,136,0
20,88,152,88,152,0
