uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,112,113,64,65,-48
1,64,88,168,192,104
1,104,96,64,56,-40
1,96,128,96,128,0
1,119,119,24,24,-95
1,64,104,96,136,32
1,88,112,112,136,24
1,104,168,32,96,-72
1,112,128,48,64,-64
1,112,96,168,152,56
1,112,104,112,104,0
1,112,135,1,24,-111
1,112,96,56,40,-56
1,144,88,96,40,-48
1,96,64,128,96,32
1,112,72,72,32,-40
1,112,95,96,79,-16
1,88,112,88,112,0
1,128,112,48,32,-80
1,128,128,128,128,0
1,80,80,24,24,-56
1,104,72,56,24,-48
1,120,120,40,40,-80
1,73,112,80,119,7
1,96,127,57,88,-39
1,128,144,80,96,-48
1,120,128,72,80,-48
1,120,64,56,0,-64
1,88,104,145,161,57
1,102,120,182,200,80
1,144,72,72,0,-72
1,112,128,80,96,-32
1,120,112,88,80,-32
1,120,120,80,80,-40
1,80,56,136,112,56
1,96,120,32,56,-64
1,104,72,144,112,40
1,79,96,79,96,0
1,96,96,24,24,-72
1,128,72,56,0,-72
1,136,120,96,80,-40
1,136,96,40,0,-96
2,48,71,49,72,1
2,80,80,80,80,0
2,56,66,56,66,0
2,64,80,64,80,0
2,56,79,56,79,0
2,49,103,49,103,0
2,56,96,56,96,0
2,64,80,64,80,0
2,73,65,73,65,0
2,64,80,64,80,0
2,64,78,176,190,112
2,64,80,88,104,24
2,64,80,88,104,24
2,56,97,79,120,23
2,72,97,72,97,0
2,64,88,64,88,0
2,55,128,103,176,48
2,55,80,104,129,49
2,56,112,216,272,160
2,64,103,128,167,64
2,56,104,80,128,24
2,63,112,111,160,48
2,56,136,56,136,0
2,56,112,80,136,24
2,56,81,112,137,56
2,56,112,88,144,32
2,56,112,88,144,32
2,64,104,64,104,0
2,48,112,96,160,48
2,56,112,80,136,24
2,48,96,80,128,32
2,56,112,80,136,24
2,56,96,104,144,48
2,56,120,104,168,48
2,63,97,63,97,0
2,56,88,80,112,24
2,56,96,80,120,24
2,56,96,96,136,40
2,56,89,88,121,32
2,56,97,72,113,16
2,48,96,88,136,40
2,56,96,72,112,16
2,56,80,88,112,32
2,56,80,104,128,48
2,56,88,127,159,71
2,64,96,96,128,32
2,56,80,112,136,56
2,72,64,112,104,40
2,72,88,152,168,80
2,71,56,96,81,25
2,56,80,112,136,56
3,112,88,64,40,-48
3,72,176,104,208,32
3,104,72,88,56,-16
3,88,80,72,64,-16
3,72,63,73,64,1
3,56,56,56,56,0
3,104,104,152,152,48
3,104,103,41,40,-63
3,64,79,65,80,1
3,64,112,64,112,0
3,72,88,40,56,-32
3,128,112,56,40,-72
3,120,72,80,32,-40
3,144,63,121,40,-23
3,112,72,56,16,-56
3,80,111,81,112,1
3,88,96,88,96,0
3,64,88,88,112,24
3,47,87,88,128,41
3,80,72,104,96,24
3,96,64,536,504,440
3,96,88,72,64,-24
3,96,112,48,64,-48
3,63,48,96,81,33
3,79,88,79,88,0
3,128,65,64,1,-64
3,56,64,192,200,136
3,72,104,96,128,24
3,104,40,144,80,40
4,72,71,73,72,1
4,64,72,80,88,16
4,56,71,57,72,1
4,24,72,64,112,40
4,64,64,112,112,48
4,72,72,72,72,0
4,64,78,65,79,1
4,72,72,40,40,-32
4,64,72,32,40,-32
4,56,78,2,24,-54
4,64,48,64,48,0
