uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,152,120,80,48,-72
1,135,139,71,75,-64
1,136,112,88,64,-48
1,136,119,65,48,-71
1,112,97,97,82,-15
1,112,120,56,64,-56
1,128,135,129,136,1
1,120,104,96,80,-24
1,128,120,48,40,-80
1,136,80,72,16,-64
1,96,104,168,176,72
1,97,72,185,160,88
1,97,112,120,135,23
1,96,96,136,136,40
1,95,71,96,72,1
1,48,88,24,64,-24
1,112,135,57,80,-55
1,103,64,71,32,-32
1,96,112,40,56,-56
2,56,48,128,120,72
2,40,60,120,140,80
2,56,64,464,472,408
2,48,87,144,183,96
2,57,48,128,119,71
2,48,48,128,128,80
2,56,37,139,120,83
2,40,56,104,120,64
3,88,96,48,56,-40
3,72,136,72,136,0
3,72,136,72,136,0
3,120,80,88,48,-32
3,112,121,64,73,-48
3,96,88,72,64,-24
4,72,72,200,200,128
4,72,56,208,192,136
4,56,64,200,208,144
5,128,144,128,144,0
5,128,160,128,160,0
5,96,136,136,176,40
5,120,104,184,168,64
5,64,144,112,192,48
5,128,96,192,160,64
5,144,95,145,96,1
6,128,88,128,88,0
6,72,72,176,176,104
7,128,56,88,16,-40
7,121,112,48,39,-73
7,200,119,105,24,-95
8,136,112,240,216,104
8,64,104,40,80,-24
8,104,136,104,136,0
8,71,80,239,248,168
8,88,153,104,169,16
8,104,79,105,80,1
8,104,96,447,439,343
8,96,96,96,96,0
9,72,64,168,160,96
9,56,104,160,208,104
10,135,112,167,144,32
10,169,144,112,87,-57
10,183,287,344,448,161
10,159,191,120,152,-39
10,160,160,136,136,-24
11,119,113,79,73,-40
11,104,144,104,144,0
11,128,72,128,72,0
12,107,93,108,94,1
12,40,88,96,144,56
12,80,72,120,112,40
12,112,72,112,72,0
12,88,120,72,104,-16
12,96,88,96,88,0
12,96,128,136,168,40
12,104,88,88,72,-16
13,128,88,40,0,-88
13,120,88,64,32,-56
13,88,96,120,128,32
13,104,48,56,0,-48
13,64,97,168,201,104
13,120,64,80,24,-40
13,96,72,64,40,-32
13,120,112,40,32,-80
14,105,88,80,63,-25
14,80,80,112,112,32
14,88,72,88,72,0
14,96,55,96,55,0
14,103,88,103,88,0
14,80,56,80,56,0
14,80,88,80,88,0
14,88,88,88,88,0
14,103,119,104,120,1
14,104,80,88,64,-16
14,64,65,199,200,135
15,80,111,80,111,0
15,144,160,208,224,64
15,104,72,208,176,104
15,104,144,72,112,-32
15,105,159,105,159,0
15,120,136,121,137,1
15,72,112,608,648,536
15,128,136,104,112,-24
15,112,112,72,72,-40
15,88,104,88,104,0
15,80,112,200,232,120
15,120,120,104,104,-16
15,96,96,152,152,56
15,90,113,63,86,-27
15,72,104,152,184,80
15,104,88,104,88,0
15,112,119,192,199,80
16,135,136,79,80,-56
16,103,200,79,176,-24
16,96,192,72,168,-24
16,80,120,248,288,168
16,136,120,88,72,-48
16,111,127,72,88,-39
16,119,119,80,80,-39
16,135,97,119,81,-16
17,184,184,128,128,-56
18,80,69,168,157,88
18,104,88,48,32,-56
18,95,96,40,41,-55
18,80,104,208,232,128
18,88,72,328,312,240
18,80,80,216,216,136
18,64,64,176,176,112
18,88,88,216,216,128
18,64,72,136,144,72
18,72,64,160,152,88
18,152,128,72,48,-80
19,112,40,88,16,-24
19,88,131,88,131,0
19,103,103,48,48,-55
19,96,104,112,120,16
19,104,104,88,88,-16
19,80,112,56,88,-24
19,88,104,56,72,-32
19,87,88,55,56,-32
19,113,88,64,39,-49
19,80,96,56,72,-24
19,88,87,89,88,1
19,112,112,80,80,-32
19,72,112,120,160,48
19,88,104,152,168,64
20,79,72,207,200,128
20,120,82,110,72,-10
20,101,88,61,48,-40
20,152,104,120,72,-32
20,104,81,224,201,120
20,120,112,248,240,128
20,128,104,88,64,-40
20,128,96,96,64,-32
20,136,80,104,48,-32
20,104,120,72,88,-32
21,109,104,60,55,-49
21,120,80,96,56,-24
21,120,103,81,64,-39
21,136,112,88,64,-48
21,118,83,92,57,-26
21,88,104,56,72,-32
21,104,112,80,88,-24
21,88,160,72,144,-16
21,128,112,80,64,-48
21,128,104,88,64,-40
21,112,88,112,88,0
21,144,104,112,72,-32
21,128,104,96,72,-32
22,88,96,64,72,-24
22,64,97,79,112,15
22,56,112,40,96,-16
22,96,136,56,96,-40
22,72,128,72,128,0
22,64,88,112,136,48
22,112,88,72,48,-40
22,64,136,64,136,0
22,128,88,64,24,-64
22,80,136,80,136,0
22,24,40,72,88,48
22,88,96,1048,1056,960
22,120,88,56,24,-64
22,80,112,80,112,0
22,128,96,88,56,-40
22,103,96,63,56,-40
22,96,72,96,72,0
23,96,152,96,152,0
23,136,240,136,240,0
23,144,120,80,56,-64
23,88,112,56,80,-32
23,112,104,88,80,-24
23,80,96,144,160,64
23,128,120,80,72,-48
23,112,144,72,104,-40
23,144,104,112,72,-32
23,120,136,72,88,-48
24,48,64,152,168,104
24,80,80,136,136,56
