uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,67,120,128,181,61
1,104,135,193,224,89
1,96,32,128,64,32
1,88,104,88,104,0
1,96,128,136,168,40
1,96,72,128,104,32
1,88,120,120,152,32
1,72,96,144,168,72
1,72,120,160,208,88
1,96,96,96,96,0
1,97,120,127,150,30
1,128,120,128,120,0
1,144,136,104,96,-40
1,96,152,72,128,-24
1,103,190,1,88,-102
1,112,160,72,120,-40
1,113,154,224,265,111
1,111,112,79,80,-32
1,135,144,111,120,-24
1,80,136,128,184,48
1,96,120,96,120,0
1,128,136,112,120,-16
1,105,103,105,103,0
1,96,96,160,160,64
1,88,96,152,160,64
1,112,136,88,112,-24
1,88,145,56,113,-32
1,48,136,24,112,-24
1,88,72,168,152,80
1,120,144,88,112,-32
1,80,32,224,176,144
1,96,80,184,168,88
1,80,88,169,177,89
1,87,105,191,209,104
1,120,103,129,112,9
1,121,127,121,127,0
1,71,63,160,152,89
1,72,104,168,200,96
1,112,128,144,160,32
1,88,96,144,152,56
1,96,128,96,128,0
1,104,128,232,256,128
1,88,88,128,128,40
1,96,168,80,152,-16
2,48,72,136,160,88
2,56,56,176,176,120
2,40,72,144,176,104
2,48,64,144,160,96
2,60,66,142,148,82
2,48,80,128,160,80
2,40,62,130,152,90
2,39,72,127,160,88
2,56,72,160,176,104
2,48,63,160,175,112
2,40,56,144,160,104
2,47,64,159,176,112
2,48,72,144,168,96
2,48,96,120,168,72
2,56,64,160,168,104
2,48,72,144,168,96
2,56,72,192,208,136
2,48,64,144,160,96
2,56,71,153,168,97
2,37,80,117,160,80
2,56,80,136,160,80
2,48,55,137,144,89
2,48,80,120,152,72
2,49,88,152,191,103
2,56,80,152,176,96
2,56,64,152,160,96
2,48,64,136,152,88
3,168,152,72,56,-96
3,72,72,32,32,-40
3,72,40,56,24,-16
3,111,136,55,80,-56
3,64,87,424,447,360
3,104,160,48,104,-56
3,239,200,120,81,-119
3,168,112,112,56,-56
3,128,104,264,240,136
3,136,112,96,72,-40
3,120,104,96,80,-24
3,168,136,120,88,-48
3,136,112,96,72,-40
3,88,120,56,88,-32
3,176,152,112,88,-64
3,120,112,64,56,-56
3,128,168,96,136,-32
3,120,160,88,128,-32
3,184,176,56,48,-128
3,152,140,100,88,-52
3,95,184,39,128,-56
3,128,167,81,120,-47
3,176,192,80,96,-96
3,192,128,64,0,-128
3,144,112,72,40,-72
3,184,151,96,63,-88
3,120,128,64,72,-56
3,88,168,112,192,24
3,129,121,64,56,-65
4,56,80,208,232,152
4,63,64,223,224,160
4,64,64,224,224,160
4,72,64,216,208,144
4,56,72,192,208,136
4,72,72,216,216,144
4,64,65,216,217,152
4,72,72,216,216,144
4,63,64,199,200,136
4,71,72,215,216,144
4,64,71,241,248,177
4,64,64,216,216,152
4,64,64,232,232,168
4,80,64,208,192,128
4,72,72,232,232,160
4,72,64,384,376,312
4,71,113,455,497,384
5,152,80,152,80,0
5,168,144,144,120,-24
5,145,103,145,103,0
5,128,136,144,152,16
5,144,143,144,143,0
5,160,136,144,120,-16
5,136,87,136,87,0
5,121,129,121,129,0
5,104,120,88,104,-16
5,128,112,128,112,0
5,128,112,224,208,96
5,144,104,144,104,0
5,88,120,152,184,64
5,120,96,104,80,-16
5,96,120,120,144,24
5,136,88,112,64,-24
5,152,128,128,104,-24
5,136,112,136,112,0
5,144,119,145,120,1
6,73,80,176,183,103
6,56,72,168,184,112
6,64,64,192,192,128
6,72,64,448,440,376
6,72,64,184,176,112
6,39,80,159,200,120
6,72,48,176,152,104
6,80,80,184,184,104
7,48,88,152,192,104
7,76,64,168,156,92
7,88,96,488,496,400
7,104,64,320,280,216
7,64,88,136,160,72
7,72,80,176,184,104
7,56,103,145,192,89
7,112,96,192,176,80
7,57,80,168,191,111
7,56,152,136,232,80
7,80,112,184,216,104
7,112,96,303,287,191
7,65,88,144,167,79
7,64,88,160,184,96
7,65,72,168,175,103
8,87,88,63,64,-24
8,104,80,88,64,-16
8,128,120,88,80,-40
8,104,88,88,72,-16
7,73,96,152,175,79
7,64,120,136,192,72
8,104,96,72,64,-32
8,136,104,112,80,-24
8,103,96,119,112,16
8,112,104,80,72,-32
8,144,88,104,48,-40
8,144,88,104,48,-40
8,120,136,96,112,-24
8,104,88,280,264,176
8,136,80,104,48,-32
8,152,136,120,104,-32
8,128,112,80,64,-48
8,153,72,136,55,-17
8,120,88,88,56,-32
8,128,80,88,40,-40
8,136,48,136,48,0
8,152,144,104,96,-48
8,128,96,88,56,-40
8,144,88,120,64,-24
8,88,96,72,80,-16
8,128,97,96,65,-32
8,129,88,104,63,-25
8,88,80,72,64,-16
8,112,80,88,56,-24
9,48,71,185,208,137
9,64,88,160,184,96
9,56,64,152,160,96
9,64,80,104,120,40
9,57,64,208,215,151
9,56,88,151,183,95
9,64,80,112,128,48
9,56,80,104,128,48
9,56,72,144,160,88
9,64,88,104,128,40
9,48,88,112,152,64
9,48,80,112,144,64
9,64,80,120,136,56
9,104,88,104,88,0
10,120,112,80,72,-40
10,128,152,96,120,-32
10,112,112,96,96,-16
10,121,128,80,87,-41
10,111,152,55,96,-56
10,144,151,121,128,-23
10,176,177,72,73,-104
10,144,184,64,104,-80
10,191,176,160,145,-31
10,128,112,128,112,0
10,248,128,120,0,-128
10,120,120,40,40,-80
10,120,96,96,72,-24
10,144,160,40,56,-104
10,136,120,56,40,-80
10,144,176,104,136,-40
10,119,128,335,344,216
11,104,80,216,192,112
11,63,97,135,169,72
11,144,55,145,56,1
11,112,104,80,72,-32
11,112,104,168,160,56
11,88,104,112,128,24
11,39,72,143,176,104
11,128,96,112,80,-16
11,152,96,120,64,-32
11,136,136,96,96,-40
11,144,103,121,80,-23
11,128,113,104,89,-24
11,136,144,112,120,-24
11,63,160,111,208,48
11,64,80,160,176,96
12,64,88,64,88,0
12,112,120,80,88,-32
12,63,104,63,104,0
12,93,96,93,96,0
12,88,104,72,88,-16
12,102,136,62,96,-40
12,128,112,104,88,-24
12,71,64,103,96,32
12,96,104,80,88,-16
12,112,112,80,80,-32
12,71,96,55,80,-16
12,96,128,72,104,-24
12,96,120,64,88,-32
12,95,113,55,73,-40
12,96,88,72,64,-24
12,104,96,80,72,-24
12,112,120,72,80,-40
12,96,113,72,89,-24
12,104,96,104,96,0
12,120,88,120,88,0
12,72,88,72,88,0
12,72,80,72,80,0
12,80,88,64,72,-16
12,120,97,80,57,-40
12,103,112,71,80,-32
12,128,112,104,88,-24
12,112,96,80,64,-32
12,72,88,49,65,-23
12,112,112,64,64,-48
12,128,120,104,96,-24
12,88,104,56,72,-32
12,80,88,56,64,-24
12,88,88,56,56,-32
13,104,128,32,56,-72
13,128,112,72,56,-56
13,88,136,208,256,120
13,136,80,72,16,-64
13,104,80,56,32,-48
13,120,80,64,24,-56
13,96,88,64,56,-32
13,120,104,80,64,-40
13,48,160,184,296,136
13,128,72,88,32,-40
13,120,112,56,48,-64
13,88,96,32,40,-56
13,97,97,32,32,-65
13,80,96,48,64,-32
13,104,80,56,32,-48
13,128,80,80,32,-48
13,152,128,80,56,-72
13,168,112,88,32,-80
13,152,104,88,40,-64
13,126,112,38,24,-88
13,120,72,80,32,-40
13,128,112,80,64,-48
13,112,104,56,48,-56
13,72,72,144,144,72
14,64,64,64,64,0
14,112,56,96,40,-16
14,64,80,40,56,-24
14,128,88,88,48,-40
14,103,128,55,80,-48
14,96,104,136,144,40
14,24,118,2,96,-22
14,72,104,96,128,24
14,88,120,65,97,-23
14,103,112,71,80,-32
14,55,128,79,152,24
14,96,104,56,64,-40
14,88,120,112,144,24
14,112,97,79,64,-33
14,88,79,112,103,24
14,103,89,79,65,-24
14,72,104,72,104,0
14,120,104,96,80,-24
14,119,89,87,57,-32
14,128,112,80,64,-48
14,96,104,56,64,-40
14,104,112,72,80,-32
14,80,48,56,24,-24
14,88,104,64,80,-24
14,103,80,71,48,-32
14,105,104,72,71,-33
14,80,104,128,152,48
14,65,88,40,63,-25
14,88,88,56,56,-32
14,64,88,48,72,-16
14,96,80,56,40,-40
14,79,88,63,72,-16
14,96,96,72,72,-24
15,144,89,56,1,-88
15,160,104,72,16,-88
15,136,88,96,48,-40
15,112,80,80,48,-32
15,159,72,127,40,-32
15,128,88,88,48,-40
15,136,72,96,32,-40
15,128,80,88,40,-40
15,96,33,64,1,-32
15,96,80,56,40,-40
15,95,72,71,48,-24
15,113,63,89,39,-24
15,104,88,56,40,-48
15,96,72,72,48,-24
15,120,128,72,80,-48
15,111,72,71,32,-40
15,200,96,520,416,320
15,128,88,72,32,-56
15,128,88,64,24,-64
15,104,120,56,72,-48
15,80,72,48,40,-32
15,96,80,224,208,128
15,112,88,80,56,-32
15,96,96,48,48,-48
