uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,96,136,96,136,0
1,139,103,89,53,-50
1,119,80,87,48,-32
1,120,113,88,81,-32
1,112,97,112,97,0
1,88,112,112,136,24
1,112,88,72,48,-40
1,128,72,112,56,-16
1,104,80,80,56,-24
2,48,89,152,193,104
2,50,100,182,232,132
2,88,112,1176,1200,1088
2,88,104,136,152,48
2,72,104,856,888,784
2,64,104,760,800,696
2,104,104,808,808,704
2,64,96,744,776,680
2,51,64,112,125,61
2,56,112,160,216,104
2,56,136,192,272,136
2,56,96,168,208,112
2,72,113,192,233,120
2,63,88,1039,1064,976
3,104,104,128,128,24
3,96,128,40,72,-56
3,80,104,80,104,0
3,96,136,56,96,-40
3,88,112,72,96,-16
3,121,87,121,87,0
3,96,120,608,632,512
4,72,72,96,96,24
4,72,72,240,240,168
4,88,64,168,144,80
4,64,72,160,168,96
4,80,88,168,176,88
4,71,95,72,96,1
5,104,152,232,280,128
5,104,144,248,288,144
5,112,128,112,128,0
5,128,136,128,136,0
5,96,120,120,144,24
5,128,136,152,160,24
5,104,136,80,112,-24
6,73,114,134,175,61
6,62,98,150,186,88
6,62,120,174,232,112
6,48,112,432,496,384
6,55,112,127,184,72
6,64,112,104,152,40
6,56,112,160,216,104
6,72,119,145,192,73
6,56,128,96,168,40
7,96,152,584,640,488
7,89,128,225,264,136
7,72,168,208,304,136
8,104,160,152,208,48
8,104,151,105,152,1
9,48,72,161,185,113
9,64,72,536,544,472
9,64,72,160,168,96
9,64,88,280,304,216
9,48,72,80,104,32
9,80,72,80,72,0
9,48,64,96,112,48
10,120,152,144,176,24
10,128,104,160,136,32
10,161,128,393,360,232
10,144,112,105,73,-39
10,80,104,80,104,0
10,104,112,88,96,-16
10,152,120,128,96,-24
10,160,151,161,152,1
10,120,120,80,80,-40
10,104,88,112,96,8
10,128,135,129,136,1
10,128,120,96,88,-32
11,111,80,143,112,32
11,113,73,40,0,-73
11,112,64,128,80,16
11,112,80,112,80,0
11,88,121,152,185,64
11,81,64,145,128,64
11,63,104,295,336,232
11,89,80,137,128,48
12,102,104,150,152,48
12,72,72,136,136,64
12,88,64,120,96,32
12,80,80,104,104,24
12,80,81,111,112,31
12,72,96,48,72,-24
12,64,80,424,440,360
12,80,72,104,96,24
12,103,71,104,72,1
12,72,72,96,96,24
12,88,96,104,112,16
12,80,80,80,80,0
12,88,88,144,144,56
12,64,80,144,160,80
12,87,81,135,129,48
12,88,104,88,104,0
13,88,104,280,296,192
13,64,120,80,136,16
13,80,103,120,143,40
13,64,96,88,120,24
13,80,56,112,88,32
13,104,104,72,72,-32
13,112,79,129,96,17
14,88,160,112,184,24
14,88,88,112,112,24
14,88,81,88,81,0
14,80,72,96,88,16
14,64,64,152,152,88
14,72,64,104,96,32
14,71,96,111,136,40
14,65,87,65,87,0
14,96,80,96,80,0
14,80,87,128,135,48
14,80,64,120,104,40
14,88,72,112,96,24
14,72,64,72,64,0
15,144,104,168,128,24
15,136,64,136,64,0
15,136,88,136,88,0
15,112,96,64,48,-48
15,104,120,64,80,-40
15,120,71,121,72,1
15,104,120,128,144,24
15,88,56,144,112,56
15,104,104,104,104,0
15,88,80,48,40,-40
15,72,88,144,160,72
16,136,64,136,64,0
16,88,104,112,128,24
16,128,96,128,96,0
16,144,104,168,128,24
16,136,104,192,160,56
16,128,112,456,440,328
16,104,114,128,138,24
16,96,64,152,120,56
16,96,80,128,112,32
16,120,112,160,152,40
16,120,80,88,48,-32
16,112,112,96,96,-16
16,80,80,104,104,24
16,136,104,112,80,-24
16,104,96,128,120,24
16,72,72,384,384,312
16,127,103,240,216,113
16,72,111,96,135,24
16,97,128,225,256,128
16,144,113,160,129,16
17,95,63,96,64,1
18,80,64,80,64,0
18,69,63,72,66,3
18,88,64,96,72,8
18,96,72,96,72,0
18,64,64,80,80,16
18,72,88,193,209,121
18,72,72,104,104,32
18,80,80,80,80,0
18,88,88,216,216,128
18,72,40,96,64,24
18,88,96,88,96,0
18,88,112,152,176,64
18,96,110,120,134,24
18,64,64,64,64,0
18,72,72,104,104,32
18,72,80,48,56,-24
18,64,64,64,64,0
18,71,80,95,104,24
19,103,72,104,73,1
19,94,56,134,96,40
19,104,64,120,80,16
19,112,64,112,64,0
19,104,56,104,56,0
19,88,56,96,64,8
19,96,56,96,56,0
19,88,96,88,96,0
20,82,96,162,176,80
20,104,112,136,144,32
20,96,80,144,128,48
20,104,88,176,160,72
20,96,64,112,80,16
20,104,104,104,104,0
20,64,112,280,328,216
20,120,73,184,137,64
20,104,112,120,128,16
20,113,71,113,71,0
20,96,112,152,168,56
20,80,112,80,112,0
20,80,120,264,304,184
21,96,120,192,216,96
21,104,104,136,136,32
21,80,112,120,152,40
21,72,104,88,120,16
21,103,113,103,113,0
21,79,112,111,144,32
21,104,88,144,128,40
21,56,96,104,144,48
21,72,80,48,56,-24
21,104,48,104,48,0
21,87,112,127,152,40
21,104,96,104,96,0
22,96,64,96,64,0
22,136,96,136,96,0
22,88,80,88,80,0
22,64,88,112,136,48
22,88,104,64,80,-24
22,72,167,73,168,1
22,104,80,104,80,0
22,80,88,112,120,32
22,88,80,64,56,-24
22,96,87,97,88,1
22,80,72,104,96,24
22,80,160,80,160,0
22,96,96,64,64,-32
22,95,104,63,72,-32
22,112,128,168,184,56
22,72,96,56,80,-16
23,88,64,384,360,296
23,119,104,520,505,401
23,120,63,121,64,1
23,104,112,144,152,40
23,112,88,40,16,-72
23,104,96,144,136,40
23,96,88,464,456,368
23,144,88,104,48,-40
23,96,136,112,152,16
23,96,88,176,168,80
23,88,128,112,152,24
23,80,72,272,264,192
23,72,152,120,200,48
23,120,120,48,48,-72
23,88,112,40,64,-48
23,104,136,32,64,-72
23,144,48,280,184,136
23,120,88,144,112,24
23,136,88,112,64,-24
24,64,104,104,144,40
24,64,96,88,120,24
24,64,120,64,120,0
24,64,152,304,392,240
25,96,128,96,128,0
26,89,104,64,79,-25
26,64,96,96,128,32
26,104,112,104,112,0
26,96,64,128,96,32
26,87,104,119,136,32
26,104,96,88,80,-16
26,89,87,113,111,24
26,96,128,96,128,0
26,96,72,128,104,32
26,81,87,81,87,0
26,96,95,80,79,-16
26,64,105,96,137,32
26,72,104,144,176,72
26,64,112,80,128,16
26,72,104,96,128,24
26,88,62,138,112,50
26,120,96,120,96,0
26,112,72,136,96,24
26,72,96,72,96,0
26,72,80,128,136,56
27,160,40,288,168,128
27,152,160,648,656,496
27,80,72,168,160,88
27,96,72,128,104,32
27,88,120,192,224,104
27,104,128,200,224,96
27,96,152,152,208,56
27,104,120,72,88,-32
28,64,120,288,344,224
28,64,55,97,88,33
28,72,76,244,248,172
28,72,88,312,328,240
28,56,152,72,168,16
28,65,120,65,120,0
28,64,144,32,112,-32
28,56,111,96,151,40
28,56,112,56,112,0
28,72,79,73,80,1
28,80,128,80,128,0
28,71,95,80,104,9
28,64,64,439,439,375
29,120,112,200,192,80
29,152,184,152,184,0
29,112,152,128,168,16
29,72,160,192,280,120
29,96,168,96,168,0
29,104,184,472,552,368
29,120,144,128,152,8
29,104,144,136,176,32
29,104,152,104,152,0
30,64,97,96,129,32
30,56,32,152,128,96
30,61,80,109,128,48
30,64,72,96,104,32
30,64,80,88,104,24
30,72,72,128,128,56
30,64,96,160,192,96
30,56,64,96,104,40
30,56,104,104,152,48
30,64,80,112,128,48
30,48,88,144,184,96
30,64,97,112,145,48
