uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,80,96,200,216,120
1,120,64,136,80,16
1,88,113,144,169,56
1,80,104,128,152,48
1,111,87,112,88,1
1,64,48,144,128,80
1,64,104,96,136,32
1,112,104,256,248,144
1,120,87,89,56,-31
1,120,88,120,88,0
1,120,96,120,96,0
1,136,96,64,24,-72
1,128,96,96,64,-32
1,72,80,120,128,48
1,80,96,200,216,120
1,129,80,144,95,15
1,104,111,168,175,64
1,64,104,120,160,56
2,55,72,144,161,89
2,69,63,153,147,84
2,56,104,128,176,72
2,56,56,128,128,72
2,40,91,109,160,69
2,48,68,116,136,68
2,48,120,136,208,88
2,56,93,114,151,58
2,63,104,143,184,80
2,63,81,103,121,40
2,56,77,108,129,52
2,72,80,176,184,104
2,64,88,544,568,480
2,56,80,128,152,72
2,56,96,223,263,167
2,56,80,184,208,128
2,48,80,136,168,88
2,64,104,240,280,176
2,64,104,208,248,144
2,47,96,143,192,96
2,56,80,112,136,56
2,48,72,112,136,64
2,56,79,112,135,56
2,78,95,168,185,90
2,56,104,136,184,80
2,56,104,280,328,224
2,64,72,136,144,72
2,55,88,120,153,65
2,48,112,104,168,56
2,64,104,168,208,104
2,56,88,112,144,56
2,56,96,104,144,48
2,48,80,96,128,48
2,56,80,112,136,56
2,64,73,144,153,80
2,48,72,112,136,64
3,104,64,104,64,0
3,96,72,96,72,0
3,80,56,112,88,32
3,79,96,80,97,1
3,120,56,120,56,0
3,79,72,111,104,32
3,112,56,136,80,24
3,96,80,136,120,40
3,88,80,120,112,32
3,72,80,168,176,96
3,104,64,88,48,-16
3,64,72,88,96,24
4,96,72,280,256,184
4,64,72,272,280,208
4,64,56,288,280,224
4,72,72,296,296,224
4,72,56,280,264,208
4,64,48,248,232,184
4,64,80,264,280,200
4,72,72,256,256,184
4,72,64,216,208,144
4,80,72,240,232,160
4,72,80,384,392,312
4,72,88,111,127,39
4,88,72,200,184,112
4,90,64,296,270,206
4,72,72,264,264,192
4,64,64,248,248,184
5,120,104,120,104,0
5,112,111,113,112,1
5,112,128,136,152,24
5,113,127,113,127,0
5,120,128,88,96,-32
5,104,112,144,152,40
5,96,128,128,160,32
5,97,144,97,144,0
5,120,120,144,144,24
5,145,161,88,104,-57
5,88,128,152,192,64
5,80,96,120,136,40
5,112,128,152,168,40
5,104,96,72,64,-32
5,128,112,168,152,40
5,144,112,240,208,96
5,104,72,160,128,56
5,112,144,152,184,40
5,120,135,520,535,400
6,64,112,176,224,112
6,64,105,136,177,72
6,72,112,168,208,96
6,80,120,200,240,120
6,81,87,225,231,144
6,79,96,712,729,633
7,136,104,208,176,72
7,88,64,160,136,72
7,136,72,592,528,456
8,81,87,161,167,80
8,80,137,160,217,80
7,88,144,144,200,56
8,40,88,352,400,312
8,80,144,209,273,129
8,72,144,72,144,0
8,104,88,72,56,-32
8,80,79,248,247,168
8,88,95,104,111,16
9,81,72,224,215,143
9,64,64,136,136,72
9,56,72,136,152,80
9,56,80,120,144,64
9,56,81,136,161,80
9,64,64,120,120,56
9,72,72,288,288,216
9,56,64,144,152,88
9,64,88,120,144,56
9,56,64,104,112,48
9,56,72,120,136,64
9,64,80,96,112,32
9,56,72,96,112,40
9,64,80,120,136,56
9,64,72,120,128,56
9,64,80,104,120,40
9,72,88,168,184,96
9,72,73,88,89,16
9,56,56,160,160,104
9,64,112,136,184,72
9,56,73,79,96,23
9,48,80,96,128,48
9,55,80,79,104,24
10,120,104,96,80,-24
10,160,72,136,48,-24
10,160,120,192,152,32
10,112,96,88,72,-24
11,96,80,200,184,104
11,104,72,160,128,56
11,80,56,216,192,136
11,79,40,168,129,89
11,88,24,216,152,128
11,88,57,248,217,160
11,64,88,200,224,136
11,57,64,128,135,71
12,112,80,152,120,40
12,80,59,141,120,61
12,128,81,166,119,38
12,96,71,129,104,33
12,88,60,112,84,24
12,89,48,128,87,39
12,72,64,96,88,24
12,96,72,121,97,25
12,98,62,98,62,0
12,94,56,94,56,0
12,72,72,72,72,0
12,120,64,120,64,0
12,64,104,96,136,32
12,96,72,96,72,0
12,105,95,105,95,0
12,80,72,272,264,192
12,88,56,88,56,0
13,80,120,136,176,56
13,112,88,248,224,136
13,112,104,152,144,40
13,64,96,120,152,56
13,96,88,136,128,40
13,105,47,105,47,0
13,88,72,136,120,48
13,80,112,144,176,64
13,80,95,80,95,0
13,95,112,127,144,32
13,56,96,112,152,56
13,80,80,80,80,0
13,96,96,192,192,96
13,136,72,360,296,224
13,71,87,48,64,-23
13,72,96,112,136,40
14,72,97,144,169,72
14,104,80,104,80,0
14,80,72,40,32,-40
14,82,88,136,142,54
14,96,80,152,136,56
14,71,113,119,161,48
14,72,128,80,136,8
14,88,88,88,88,0
14,72,55,73,56,1
14,64,56,144,136,80
15,96,80,112,96,16
15,96,64,128,96,32
15,96,88,96,88,0
15,119,88,71,40,-48
15,112,96,200,184,88
15,80,64,144,128,64
15,136,88,160,112,24
15,88,104,112,128,24
15,136,128,168,160,32
15,112,88,64,40,-48
16,128,79,201,152,73
16,112,104,128,120,16
16,88,104,144,160,56
16,112,112,144,144,32
16,105,88,169,152,64
16,128,96,168,136,40
16,56,88,112,144,56
16,104,120,144,160,40
16,104,104,120,120,16
16,80,104,144,168,64
16,96,56,176,136,80
16,96,96,136,136,40
16,88,112,120,144,32
17,152,160,232,240,80
17,111,168,135,192,24
17,160,128,160,128,0
