uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,32,64,80,112,48
1,128,120,128,120,0
1,72,112,48,88,-24
1,120,88,120,88,0
1,88,137,48,97,-40
1,96,120,72,96,-24
1,120,104,120,104,0
1,120,120,120,120,0
1,136,72,96,32,-40
1,190,120,166,96,-24
1,160,136,136,112,-24
1,112,119,73,80,-39
1,136,72,120,56,-16
1,103,80,71,48,-32
1,96,112,136,152,40
1,145,96,80,31,-65
1,144,112,64,32,-80
1,103,128,71,96,-32
1,127,128,112,113,-15
1,128,120,88,80,-40
1,128,88,144,104,16
1,168,120,120,72,-48
2,56,64,152,160,96
2,64,72,120,128,56
2,66,64,130,128,64
2,80,80,144,144,64
2,62,64,134,136,72
2,72,80,120,128,48
2,64,64,160,160,96
2,64,88,176,200,112
2,56,88,200,232,144
2,72,72,104,104,32
2,96,88,96,88,0
2,64,72,352,360,288
2,72,104,216,248,144
2,64,64,136,136,72
2,80,72,104,96,24
2,80,72,136,128,56
2,55,72,487,504,432
2,80,80,176,176,96
2,56,72,144,160,88
2,64,56,176,168,112
2,64,56,224,216,160
3,152,88,112,48,-40
3,136,57,80,1,-56
3,160,64,120,24,-40
3,112,80,88,56,-24
3,112,72,80,40,-32
3,120,72,120,72,0
3,112,49,112,49,0
3,160,72,88,0,-72
3,140,48,124,32,-16
3,112,56,112,56,0
3,121,64,329,272,208
4,64,72,128,136,64
4,64,72,112,120,48
4,72,64,128,120,56
4,72,72,168,168,96
4,65,64,161,160,96
4,72,72,128,128,56
4,64,80,169,185,105
4,72,80,136,144,64
4,71,80,351,360,280
4,64,80,112,128,48
4,64,72,264,272,200
4,64,64,128,128,64
5,144,120,144,120,0
5,103,95,104,96,1
5,87,112,56,81,-31
5,120,80,88,48,-32
5,112,89,248,225,136
5,104,104,128,128,24
5,120,136,144,160,24
5,96,119,57,80,-39
5,120,151,121,152,1
5,88,104,184,200,96
5,112,136,72,96,-40
7,88,63,89,64,1
7,88,120,112,144,24
7,80,96,80,96,0
7,96,112,32,48,-64
7,152,136,112,96,-40
7,112,128,64,80,-48
7,88,96,72,80,-16
8,88,64,120,96,32
8,80,88,112,120,32
8,88,64,176,152,88
7,112,72,280,240,168
8,96,88,96,88,0
8,104,80,128,104,24
8,104,72,104,72,0
8,88,104,112,128,24
8,88,72,120,104,32
8,80,112,56,88,-24
8,112,72,144,104,32
8,72,80,56,64,-16
8,88,72,88,72,0
8,80,104,104,128,24
8,48,72,1568,1592,1520
8,96,88,96,88,0
8,97,64,121,88,24
8,88,80,64,56,-24
8,80,72,56,48,-24
8,80,72,128,120,48
9,88,72,136,120,48
9,80,89,104,113,24
9,88,64,152,128,64
9,80,80,96,96,16
9,80,56,104,80,24
9,72,72,120,120,48
9,88,71,89,72,1
9,88,64,88,64,0
9,80,104,184,208,104
9,88,72,192,176,104
10,112,80,112,80,0
10,128,104,128,104,0
10,152,63,153,64,1
10,168,160,200,192,32
10,184,160,440,416,256
10,176,208,271,303,95
10,128,136,168,176,40
10,128,81,128,81,0
10,96,88,136,128,40
10,120,104,120,104,0
10,136,144,544,552,408
11,80,64,160,144,80
11,73,88,160,175,87
11,55,71,168,184,113
11,104,80,184,160,80
11,72,168,432,528,360
11,96,72,216,192,120
11,103,40,231,168,128
11,80,72,192,184,112
12,120,56,64,0,-56
12,96,64,120,88,24
12,104,72,104,72,0
12,136,76,136,76,0
12,112,72,136,96,24
12,104,64,88,48,-16
12,96,80,96,80,0
12,128,56,128,56,0
12,120,72,80,32,-40
12,88,72,56,40,-32
12,113,63,89,39,-24
12,88,80,56,48,-32
12,80,72,128,120,48
12,97,72,72,47,-25
12,112,80,112,80,0
12,96,64,96,64,0
12,88,71,88,71,0
12,112,79,113,80,1
12,104,64,104,64,0
12,88,56,88,56,0
13,128,96,160,128,32
13,80,96,80,96,0
13,80,104,56,80,-24
13,104,71,105,72,1
13,72,96,72,96,0
13,112,96,112,96,0
13,96,96,96,96,0
13,97,88,177,168,80
13,96,72,72,48,-24
13,80,80,80,80,0
13,104,96,104,96,0
13,80,96,80,96,0
13,72,63,89,80,17
13,104,80,504,480,400
13,72,72,72,72,0
14,88,56,72,40,-16
14,120,64,79,23,-41
14,97,71,97,71,0
