uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,97,79,97,79,0
1,119,88,167,136,48
1,96,112,96,112,0
1,81,87,81,87,0
1,104,127,81,104,-23
1,128,112,104,88,-24
1,104,120,88,104,-16
1,80,96,120,136,40
1,88,129,55,96,-33
1,104,120,72,88,-32
1,136,118,96,78,-40
1,104,96,128,120,24
1,119,87,120,88,1
1,88,120,88,120,0
1,104,96,136,128,32
1,96,160,81,145,-15
1,112,112,96,96,-16
1,104,104,104,104,0
1,96,64,152,120,56
1,104,136,72,104,-32
1,136,136,104,104,-32
1,88,112,56,80,-32
2,53,72,141,160,88
2,48,80,136,168,88
2,72,96,168,192,96
2,64,76,168,180,104
2,56,56,144,144,88
2,72,80,168,176,96
2,64,72,184,192,120
2,64,56,168,160,104
2,64,72,192,200,128
2,74,64,559,549,485
2,64,72,176,184,112
2,48,48,136,136,88
2,111,64,303,256,192
2,40,64,128,152,88
2,64,88,152,176,88
2,72,112,152,192,80
2,72,96,152,176,80
2,64,72,152,160,88
2,79,64,207,192,128
2,64,56,152,144,88
2,57,71,129,143,72
2,56,80,144,168,88
3,193,151,193,151,0
3,152,152,80,80,-72
3,128,112,72,56,-56
3,128,120,80,72,-48
3,120,160,48,88,-72
3,168,184,104,120,-64
3,112,144,48,80,-64
3,128,104,64,40,-64
3,112,160,80,128,-32
3,144,160,88,104,-56
3,104,104,64,64,-40
3,128,88,88,48,-40
3,126,104,86,64,-40
3,88,96,57,65,-31
3,103,168,63,128,-40
4,48,47,225,224,177
4,56,64,208,216,152
4,56,80,416,440,360
4,72,72,296,296,224
4,96,72,840,816,744
4,56,64,224,232,168
4,56,47,225,216,169
5,104,120,128,144,24
5,128,96,144,112,16
5,96,96,224,224,128
5,128,152,168,192,40
5,137,104,144,111,7
5,136,143,137,144,1
5,120,144,120,144,0
5,128,88,128,88,0
5,104,128,104,128,0
5,152,144,280,272,128
6,88,79,154,145,66
6,121,120,160,159,39
6,112,96,168,152,56
6,112,104,200,192,88
6,128,80,192,144,64
6,79,72,199,192,120
6,72,80,184,192,112
6,96,64,192,160,96
6,80,80,208,208,128
6,72,96,176,200,104
7,61,91,171,201,110
7,79,104,168,193,89
7,88,72,216,200,128
7,80,136,280,336,200
7,168,96,1008,936,840
7,96,112,176,192,80
7,96,87,225,216,129
7,88,96,144,152,56
7,71,87,152,168,81
7,64,104,160,200,96
8,88,96,176,184,88
7,72,85,139,152,67
7,96,80,208,192,112
7,63,96,175,208,112
7,80,112,160,192,80
7,128,88,208,168,80
7,56,88,144,176,88
8,128,112,128,112,0
8,128,128,128,128,0
8,160,112,144,96,-16
8,80,96,104,120,24
8,88,104,160,176,72
8,128,144,72,88,-56
9,63,96,63,96,0
9,55,80,95,120,40
9,72,80,72,80,0
9,64,64,104,104,40
9,64,63,416,415,352
9,105,111,72,78,-33
9,56,88,88,120,32
10,128,129,88,89,-40
10,135,160,47,72,-88
10,152,168,72,88,-80
10,152,137,56,41,-96
10,144,120,64,40,-80
10,184,160,96,72,-88
10,120,112,184,176,64
10,184,176,136,128,-48
10,224,136,144,56,-80
10,128,88,96,56,-32
10,152,184,56,88,-96
10,144,128,72,56,-72
10,112,111,96,95,-16
10,144,136,80,72,-64
11,65,96,160,191,95
11,64,73,168,177,104
11,64,64,184,184,120
11,56,48,216,208,160
11,56,24,248,216,192
11,112,128,152,168,40
11,72,112,160,200,88
12,56,96,104,144,48
12,80,98,126,144,46
12,56,104,144,192,88
12,152,104,232,184,80
12,80,96,128,144,48
12,48,104,96,152,48
13,88,89,184,185,96
13,112,120,56,64,-56
13,96,136,184,224,88
13,88,104,144,160,56
13,95,87,160,152,65
13,112,136,192,216,80
13,71,103,176,208,105
13,88,80,384,376,296
13,80,136,256,312,176
13,96,88,176,168,80
13,120,112,120,112,0
13,55,112,175,232,120
13,64,72,184,192,120
13,128,104,128,104,0
13,48,128,168,248,120
13,80,88,168,176,88
13,88,104,48,64,-40
13,72,80,200,208,128
14,112,96,64,48,-48
14,96,104,64,72,-32
14,55,135,152,232,97
14,112,96,72,56,-40
14,104,72,64,32,-40
14,112,96,72,56,-40
14,104,32,112,40,8
14,96,64,144,112,48
14,105,80,64,39,-41
14,104,112,56,64,-48
14,120,72,71,23,-49
14,128,104,72,48,-56
15,88,80,208,200,120
15,88,104,56,72,-32
15,88,72,64,48,-24
15,96,88,80,72,-16
15,112,103,73,64,-39
