uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,120,112,120,112,0
1,72,160,96,184,24
1,112,112,112,112,0
1,108,113,108,113,0
1,136,104,136,104,0
1,112,72,112,72,0
1,89,103,89,103,0
1,120,152,120,152,0
1,96,48,152,104,56
1,120,72,120,72,0
1,112,136,112,136,0
1,96,112,72,88,-24
1,144,120,120,96,-24
1,120,128,144,152,24
1,104,128,176,200,72
1,112,136,152,176,40
1,97,120,97,120,0
1,112,112,136,136,24
1,103,96,127,120,24
2,88,96,176,184,88
2,64,56,80,72,16
2,64,56,104,96,40
2,72,96,672,696,600
2,72,81,120,129,48
2,64,72,328,336,264
2,80,95,161,176,81
2,64,72,88,96,24
2,64,136,192,264,128
2,72,80,112,120,40
2,64,64,96,96,32
2,64,96,320,352,256
2,72,88,96,112,24
2,72,64,104,96,32
3,112,56,112,56,0
3,88,64,88,64,0
3,80,80,136,136,56
3,88,80,88,80,0
3,64,56,104,96,40
3,80,224,96,240,16
3,88,144,64,120,-24
3,81,161,104,184,23
3,72,136,88,152,16
3,88,80,88,80,0
3,88,72,64,48,-24
3,71,88,168,185,97
3,80,80,96,96,16
4,64,80,136,152,72
4,64,64,113,113,49
4,72,80,128,136,56
4,88,80,176,168,88
4,72,72,192,192,120
5,112,144,152,184,40
5,120,128,88,96,-32
5,80,104,168,192,88
5,87,120,191,224,104
5,88,128,88,128,0
5,96,128,216,248,120
5,80,136,168,224,88
5,88,96,56,64,-32
5,112,111,537,536,425
5,104,120,104,120,0
5,113,137,472,496,359
6,56,99,125,168,69
6,88,80,136,128,48
6,88,128,144,184,56
6,95,97,71,73,-24
6,96,112,1632,1648,1536
6,80,128,104,152,24
6,64,96,128,160,64
6,64,112,168,216,104
6,72,49,552,529,480
6,71,103,96,128,25
6,72,120,120,168,48
7,105,142,106,143,1
7,133,168,103,138,-30
7,88,136,112,160,24
7,120,104,88,72,-32
7,120,96,120,96,0
7,120,104,96,80,-24
7,79,176,399,496,320
8,88,96,120,128,32
8,64,96,176,208,112
8,105,104,465,464,360
8,88,144,152,208,64
8,97,89,64,56,-33
8,80,136,120,176,40
8,96,104,72,80,-24
8,88,80,112,104,24
8,80,80,80,80,0
9,56,56,136,136,80
9,64,88,80,104,16
9,88,96,184,192,96
9,64,80,112,128,48
9,48,72,96,120,48
9,56,71,57,72,1
9,88,56,88,56,0
10,152,104,48,0,-104
10,136,128,104,96,-32
10,191,104,192,105,1
10,152,64,152,64,0
10,88,88,96,96,8
11,54,104,166,216,112
11,88,81,112,105,24
11,96,88,136,128,40
11,80,80,144,144,64
12,74,81,96,103,22
12,89,51,109,71,20
12,96,64,96,64,0
12,64,48,96,80,32
12,72,56,88,72,16
12,96,80,112,96,16
12,96,96,112,112,16
12,88,88,88,88,0
12,112,51,341,280,229
13,80,111,80,111,0
13,72,176,176,280,104
13,72,96,104,128,32
13,72,96,103,127,31
13,88,105,120,137,32
13,96,64,112,80,16
13,88,104,136,152,48
13,80,80,128,128,48
13,88,72,88,72,0
13,72,96,112,136,40
13,72,80,80,88,8
13,136,64,136,64,0
13,64,88,112,136,48
13,88,120,48,80,-40
13,72,80,104,112,32
14,80,104,104,128,24
14,56,104,129,177,73
14,63,96,87,120,24
14,64,88,96,120,32
14,64,72,96,104,32
14,88,56,88,56,0
14,80,88,112,120,32
14,55,104,39,88,-16
14,64,72,128,136,64
14,48,56,96,104,48
14,71,64,111,104,40
14,72,152,112,192,40
14,79,112,79,112,0
14,64,96,64,96,0
15,64,80,64,80,0
15,88,96,128,136,40
15,88,104,112,128,24
15,96,72,104,80,8
15,80,80,376,376,296
15,104,95,104,95,0
15,96,104,97,105,1
15,80,104,80,104,0
16,137,87,137,87,0
16,104,88,136,120,32
16,112,96,848,832,736
16,104,96,120,112,16
16,120,120,88,88,-32
16,144,72,96,24,-48
16,88,80,88,80,0
16,88,88,64,64,-24
16,87,72,111,96,24
16,112,112,112,112,0
16,112,88,120,96,8
16,104,88,144,128,40
16,145,87,145,87,0
16,136,88,104,56,-32
16,145,127,145,127,0
16,120,88,120,88,0
16,136,48,136,48,0
17,104,128,104,128,0
17,176,72,128,24,-48
17,176,56,120,0,-56
17,128,168,304,344,176
17,216,152,440,376,224
17,96,160,120,184,24
17,144,112,144,112,0
17,136,144,112,120,-24
17,152,96,296,240,144
17,215,136,399,320,184
17,120,127,105,112,-15
18,83,74,96,87,13
18,81,73,128,120,47
18,88,48,88,48,0
18,80,80,584,584,504
18,64,72,104,112,40
18,80,48,104,72,24
18,64,72,96,104,32
18,80,72,80,72,0
18,88,72,120,104,32
18,72,56,112,96,40
18,72,64,72,64,0
18,80,72,80,72,0
18,90,69,115,94,25
18,72,48,112,88,40
18,40,80,104,144,64
19,64,104,88,128,24
19,96,95,2,1,-94
19,88,80,88,80,0
19,80,56,103,79,23
19,64,80,72,88,8
19,88,72,88,72,0
19,88,88,88,88,0
20,64,95,345,376,281
20,96,79,169,152,73
20,112,88,200,176,88
20,104,144,432,472,328
20,88,128,128,168,40
20,96,88,488,480,392
20,104,79,168,143,64
20,96,81,120,105,24
20,88,80,176,168,88
20,80,104,112,136,32
20,80,80,160,160,80
20,80,80,104,104,24
20,104,96,104,96,0
20,88,88,168,168,80
21,96,120,136,160,40
21,64,72,128,136,64
21,72,99,118,145,46
21,56,97,128,169,72
21,96,64,160,128,64
21,71,104,207,240,136
21,112,88,168,144,56
21,80,80,104,104,24
21,80,113,128,161,48
21,88,88,104,104,16
21,72,88,208,224,136
21,88,88,104,104,16
21,96,88,120,112,24
21,88,104,128,144,40
22,96,88,96,88,0
22,104,80,104,80,0
22,112,80,264,232,152
22,120,56,104,40,-16
22,88,88,88,88,0
22,64,56,88,80,24
22,88,88,120,120,32
22,112,87,113,88,1
22,80,56,80,56,0
22,95,39,96,40,1
22,88,104,136,152,48
22,96,64,96,64,0
22,80,64,128,112,48
22,96,112,96,112,0
22,96,48,104,56,8
23,119,120,87,88,-32
23,88,160,72,144,-16
23,104,144,88,128,-16
23,48,96,80,128,32
23,104,88,104,88,0
23,95,80,71,56,-24
23,72,56,72,56,0
23,72,56,72,56,0
23,88,80,88,80,0
23,64,64,112,112,48
23,112,63,113,64,1
23,176,16,624,464,448
23,103,79,104,80,1
23,104,48,136,80,32
23,104,96,80,72,-24
23,87,48,143,104,56
23,136,64,72,0,-64
23,48,40,240,232,192
24,88,136,88,136,0
24,88,64,200,176,112
24,64,128,64,128,0
24,73,144,169,240,96
24,104,136,72,104,-32
24,96,128,112,144,16
24,88,160,88,160,0
24,79,103,304,328,225
24,88,104,112,128,24
25,87,72,159,144,72
25,64,87,176,199,112
26,64,96,104,136,40
26,88,72,152,136,64
26,64,104,112,152,48
26,48,136,96,184,48
26,92,96,120,124,28
26,89,104,89,104,0
26,80,112,128,160,48
26,72,88,80,96,8
26,88,88,88,88,0
26,79,96,399,416,320
26,63,104,111,152,48
26,80,96,88,104,8
26,80,120,168,208,88
26,104,96,104,96,0
27,96,64,208,176,112
27,95,112,127,144,32
27,112,144,176,208,64
27,112,96,168,152,56
27,136,168,176,208,40
27,104,88,176,160,72
27,88,56,208,176,120
27,128,120,184,176,56
27,129,135,177,183,48
27,136,136,200,200,64
27,152,104,160,112,8
27,112,144,136,168,24
27,112,144,112,144,0
28,72,88,168,184,96
28,72,216,72,216,0
28,76,137,32,93,-44
28,40,96,1144,1200,1104
28,112,56,168,112,56
28,112,72,112,72,0
28,81,88,81,88,0
28,64,72,80,88,16
28,80,95,81,96,1
28,72,96,168,192,96
28,56,96,40,80,-16
29,161,144,280,263,119
29,119,207,120,208,1
29,120,176,120,176,0
29,88,176,168,256,80
29,103,184,191,272,88
29,104,152,168,216,64
29,104,152,136,184,32
29,120,152,208,240,88
29,96,152,192,248,96
29,72,168,136,232,64
29,96,176,120,200,24
30,87,72,2327,2312,2240
30,72,55,281,264,209
30,64,80,272,288,208
30,64,88,176,200,112
30,56,64,200,208,144
30,80,72,168,160,88
30,64,80,240,256,176
