uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,154,96,114,56,-40
1,136,88,96,48,-40
1,103,111,56,64,-47
1,128,112,104,88,-24
1,136,88,104,56,-32
1,139,61,140,62,1
1,128,104,64,40,-64
1,104,87,73,56,-31
1,120,88,80,48,-40
1,104,80,64,40,-40
1,112,88,88,64,-24
1,112,72,72,32,-40
1,96,40,184,128,88
1,112,120,72,80,-40
1,136,104,136,104,0
1,168,112,96,40,-72
1,112,96,80,64,-32
2,80,84,162,166,82
2,56,96,128,168,72
2,56,88,128,160,72
2,79,89,151,161,72
2,80,81,136,137,56
2,88,80,160,152,72
2,78,80,158,160,80
2,63,105,135,177,72
2,57,120,144,207,87
2,96,96,232,232,136
2,135,105,519,489,384
2,152,88,256,192,104
2,88,104,176,192,88
2,80,104,160,184,80
2,88,80,200,192,112
2,80,96,168,184,88
2,64,104,128,168,64
2,96,96,192,192,96
2,80,96,152,168,72
2,88,104,176,192,88
2,88,96,152,160,64
2,112,80,208,176,96
2,88,112,152,176,64
2,64,96,128,160,64
2,96,88,185,177,89
2,56,80,120,144,64
2,88,96,160,168,72
2,72,80,152,160,80
2,81,80,145,144,64
3,120,65,87,32,-33
3,120,136,64,80,-56
3,104,152,72,120,-32
3,128,120,72,64,-56
3,104,112,40,48,-64
3,96,72,48,24,-48
3,96,136,48,88,-48
3,80,112,40,72,-40
3,176,128,120,72,-56
3,96,88,56,48,-40
3,112,104,80,72,-32
3,151,128,88,65,-63
3,144,120,96,72,-48
3,224,159,128,63,-96
3,144,136,72,64,-72
3,160,176,128,144,-32
3,120,103,57,40,-63
3,161,160,80,79,-81
3,159,112,95,48,-64
3,136,104,64,32,-72
3,88,120,128,160,40
3,144,112,96,64,-48
3,111,80,71,40,-40
3,85,96,53,64,-32
4,80,64,104,88,24
4,64,88,175,199,111
4,80,80,192,192,112
4,64,64,104,104,40
4,72,72,88,88,16
4,64,72,88,96,24
4,72,64,96,88,24
4,72,72,104,104,32
4,81,72,184,175,103
4,80,82,96,98,16
4,64,80,160,176,96
4,80,56,200,176,120
4,88,64,208,184,120
5,152,144,104,96,-48
5,199,192,127,120,-72
5,160,152,192,184,32
5,207,192,151,136,-56
5,137,128,216,207,79
5,168,128,112,72,-56
5,136,184,112,160,-24
5,216,144,128,56,-88
5,104,168,120,184,16
5,192,192,104,104,-88
5,136,136,136,136,0
5,128,192,96,160,-32
5,144,152,136,144,-8
5,144,216,104,176,-40
5,135,112,104,81,-31
6,119,65,95,41,-24
6,152,80,104,32,-48
6,120,88,120,88,0
6,112,64,528,480,416
7,142,152,62,72,-80
7,192,178,64,50,-128
7,168,152,96,80,-72
7,144,88,272,216,128
7,176,120,88,32,-88
7,184,168,72,56,-112
7,216,176,64,24,-152
7,128,135,65,72,-63
7,176,168,80,72,-96
7,201,129,72,0,-129
7,120,104,232,216,112
8,136,112,88,64,-48
8,184,152,184,152,0
8,134,104,102,72,-32
7,208,160,80,32,-128
7,192,168,72,48,-120
8,144,120,104,80,-40
8,128,160,88,120,-40
8,160,128,104,72,-56
8,136,73,112,49,-24
8,144,88,144,88,0
8,144,113,120,89,-24
8,159,96,119,56,-40
8,96,88,184,176,88
8,80,80,312,312,232
9,80,88,112,120,32
9,88,97,56,65,-32
9,80,95,57,72,-23
9,80,96,40,56,-40
9,104,88,72,56,-32
9,89,72,49,32,-40
9,103,71,104,72,1
9,88,80,56,48,-32
10,167,111,96,40,-71
10,184,104,112,32,-72
10,199,160,80,41,-119
10,224,168,96,40,-128
10,152,128,80,56,-72
10,88,96,176,184,88
10,160,152,96,88,-64
10,200,144,120,64,-80
10,192,128,120,56,-72
11,80,64,120,104,40
11,96,80,208,192,112
11,96,72,128,104,32
11,72,72,56,56,-16
11,72,64,144,136,72
11,80,64,136,120,56
11,64,79,97,112,33
11,56,88,96,128,40
11,56,80,104,128,48
11,63,72,143,152,80
11,144,88,328,272,184
12,56,72,104,120,48
12,51,81,92,122,41
12,64,72,104,112,40
12,96,80,152,136,56
12,72,72,136,136,64
12,111,55,160,104,49
12,46,88,78,120,32
12,71,104,223,256,152
12,104,88,80,64,-24
12,88,112,104,128,16
12,88,96,128,136,40
12,71,80,367,376,296
12,128,64,240,176,112
12,112,104,72,64,-40
12,56,120,24,88,-32
12,112,152,64,104,-48
12,73,72,160,159,87
12,72,88,120,136,48
12,64,96,104,136,40
12,72,72,160,160,88
12,56,119,113,176,57
12,64,72,120,128,56
13,112,103,81,72,-31
13,176,128,88,40,-88
13,96,63,72,39,-24
13,88,96,40,48,-48
13,144,152,64,72,-80
13,144,96,96,48,-48
13,120,104,72,56,-48
13,112,112,64,64,-48
13,112,72,80,40,-32
13,112,111,80,79,-32
13,128,112,104,88,-24
13,160,128,128,96,-32
13,97,96,49,48,-48
13,144,96,72,24,-72
14,104,87,64,47,-40
14,128,104,64,40,-64
14,136,96,72,32,-64
14,104,80,64,40,-40
14,112,176,64,128,-48
14,127,144,96,113,-31
14,104,89,80,65,-24
14,152,120,112,80,-40
14,96,104,56,64,-40
14,103,88,71,56,-32
14,120,104,72,56,-48
14,112,120,56,64,-56
14,112,112,48,48,-64
14,96,80,56,40,-40
14,88,40,136,88,48
14,111,119,56,64,-55
14,136,96,96,56,-40
14,136,104,88,56,-48
14,121,112,105,96,-16
14,129,88,88,47,-41
14,120,160,88,128,-32
14,127,104,71,48,-56
14,120,95,81,56,-39
14,79,96,39,56,-40
14,128,64,248,184,120
14,104,104,48,48,-56
14,128,97,111,80,-17
14,111,111,48,48,-63
15,56,72,144,160,88
15,72,64,160,152,88
15,72,112,160,200,88
15,64,96,160,192,96
15,104,96,456,448,352
15,64,72,160,168,96
15,64,95,145,176,81
15,80,145,264,329,184
15,80,113,144,177,64
15,56,64,152,160,96
15,56,72,144,160,88
15,64,88,136,160,72
15,88,72,184,168,96
15,64,104,136,176,72
15,64,72,152,160,88
15,72,56,168,152,96
15,79,104,152,177,73
16,96,80,64,48,-32
16,112,96,72,56,-40
16,160,112,104,56,-56
16,128,104,72,48,-56
16,104,96,216,208,112
16,72,72,248,248,176
16,96,105,56,65,-40
16,120,112,72,64,-48
16,184,120,120,56,-64
16,88,80,56,48,-32
16,111,96,71,56,-40
16,120,112,80,72,-40
16,152,120,80,48,-72
16,112,112,80,80,-32
16,208,144,104,40,-104
16,144,104,88,48,-56
16,88,64,56,32,-32
16,152,96,96,40,-56
16,136,120,80,64,-56
16,55,72,184,201,129
16,127,143,88,104,-39
17,144,136,88,80,-56
17,128,160,592,624,464
17,168,176,80,88,-88
17,168,112,112,56,-56
17,168,120,104,56,-64
17,183,160,79,56,-104
17,168,192,248,272,80
17,217,136,160,79,-57
17,104,136,72,104,-32
17,152,120,112,80,-40
17,176,120,120,64,-56
17,135,104,215,184,80
17,104,72,207,175,103
18,72,56,72,56,0
18,88,37,88,37,0
18,72,72,144,144,72
18,48,96,144,192,96
18,40,64,144,168,104
18,72,64,160,152,88
18,63,72,167,176,104
18,64,72,160,168,96
18,48,80,160,192,112
18,71,80,175,184,104
18,88,64,72,48,-16
18,56,64,168,176,112
18,80,72,168,160,88
18,56,56,175,175,119
18,63,72,335,344,272
18,80,64,104,88,24
18,64,72,168,176,104
18,64,56,176,168,112
19,200,104,96,0,-104
19,128,97,56,25,-72
19,128,96,80,48,-48
19,111,104,79,72,-32
19,96,120,40,64,-56
19,120,72,64,16,-56
19,144,111,88,55,-56
19,152,104,72,24,-80
19,95,96,47,48,-48
19,128,104,72,48,-56
19,112,105,64,57,-48
19,144,112,80,48,-64
19,120,96,64,40,-56
19,120,104,48,32,-72
19,144,73,96,25,-48
19,151,135,72,56,-79
19,160,80,120,40,-40
20,168,128,104,64,-64
20,135,96,112,73,-23
20,104,136,128,160,24
20,113,103,105,95,-8
20,119,112,79,72,-40
20,160,136,128,104,-32
20,143,88,207,152,64
20,176,136,136,96,-40
20,153,72,153,72,0
20,144,105,120,81,-24
20,144,104,120,80,-24
20,152,159,97,104,-55
20,120,104,120,104,0
20,128,96,96,64,-32
20,120,112,120,112,0
20,96,88,72,64,-24
20,128,136,72,80,-56
20,192,96,240,144,48
20,176,88,128,40,-48
20,176,144,128,96,-48
21,125,96,144,115,19
21,120,132,121,133,1
21,99,103,99,103,0
21,88,136,200,248,112
21,104,112,136,144,32
