uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,96,88,96,88,0
1,176,112,64,0,-112
1,136,104,32,0,-104
1,113,73,40,0,-73
1,96,88,96,88,0
1,152,119,65,32,-87
1,111,64,47,0,-64
1,104,104,56,56,-48
1,152,104,48,0,-104
1,168,112,72,16,-96
1,120,112,24,16,-96
1,144,112,120,88,-24
1,128,112,80,64,-48
1,160,96,64,0,-96
1,120,72,81,33,-39
1,136,112,56,32,-80
1,145,112,48,15,-97
1,104,144,48,88,-56
1,121,128,97,104,-24
1,104,88,80,64,-24
1,136,112,48,24,-88
1,144,112,49,17,-95
1,88,88,152,152,64
1,128,128,48,48,-80
1,168,128,40,0,-128
1,136,80,88,32,-48
1,152,104,64,16,-88
1,128,120,40,32,-88
1,167,73,95,1,-72
1,128,96,72,40,-56
1,128,128,80,80,-48
1,112,64,128,80,16
1,112,71,113,72,1
1,145,96,49,0,-96
1,160,120,64,24,-96
1,136,120,56,40,-80
1,112,144,112,144,0
1,136,96,104,64,-32
1,168,120,48,0,-120
1,120,96,56,32,-64
1,104,79,105,80,1
1,104,104,64,64,-40
1,136,96,72,32,-64
1,129,128,73,72,-56
1,136,136,136,136,0
1,128,136,128,136,0
2,66,48,119,101,53
2,63,80,103,120,40
2,65,56,120,111,55
2,56,64,88,96,32
2,71,56,120,105,49
2,64,49,112,97,48
2,64,56,112,104,48
2,56,64,104,112,48
2,73,73,112,112,39
2,71,64,111,104,40
2,88,56,48,16,-40
2,101,40,101,40,0
2,104,64,104,64,0
2,112,64,112,64,0
2,80,56,113,89,33
2,88,56,144,112,56
2,112,72,128,88,16
2,80,64,128,112,48
2,112,55,113,56,1
2,79,55,96,72,17
2,120,56,240,176,120
2,104,63,105,64,1
2,72,56,128,112,56
2,72,56,104,88,32
2,96,56,113,73,17
2,64,56,104,96,40
2,72,56,104,88,32
2,80,64,128,112,48
2,104,48,104,48,0
2,88,56,88,56,0
2,64,48,96,80,32
2,72,56,96,80,24
2,128,57,72,1,-56
2,96,48,96,48,0
2,96,56,96,56,0
2,96,56,96,56,0
2,72,63,113,104,41
2,72,56,96,80,24
2,64,56,96,88,32
2,72,56,88,72,16
2,80,56,112,88,32
2,72,56,96,80,24
2,72,48,96,72,24
2,80,56,104,80,24
2,80,56,96,72,16
2,80,56,80,56,0
2,104,56,48,0,-56
2,96,40,96,40,0
2,96,64,96,64,0
2,104,56,104,56,0
2,136,72,160,96,24
2,104,72,104,72,0
