uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,128,80,128,80,0
1,88,120,64,96,-24
1,96,112,112,128,16
1,79,47,80,48,1
1,160,80,128,48,-32
1,128,104,48,24,-80
1,112,80,80,48,-32
1,88,112,88,112,0
1,143,88,55,0,-88
1,120,88,64,32,-56
1,137,81,56,0,-81
1,137,128,48,39,-89
1,103,120,71,88,-32
1,153,96,57,0,-96
1,136,80,56,0,-80
1,111,88,71,48,-40
1,16,120,16,120,0
1,136,88,184,136,48
1,119,96,80,57,-39
1,136,96,72,32,-64
2,88,81,121,114,33
2,64,80,144,160,80
2,72,89,112,129,40
2,95,71,96,72,1
2,80,71,145,136,65
2,72,80,96,104,24
2,89,71,89,71,0
3,81,193,120,232,39
3,97,167,97,167,0
3,64,152,64,152,0
3,72,112,72,112,0
3,48,144,49,145,1
3,64,120,64,120,0
3,72,128,56,112,-16
3,97,111,97,111,0
3,39,96,80,137,41
3,56,104,56,104,0
3,64,120,64,120,0
3,72,112,128,168,56
3,88,112,88,112,0
3,56,144,56,144,0
3,63,112,63,112,0
3,80,120,80,120,0
3,80,112,112,144,32
3,72,88,72,88,0
3,80,144,80,144,0
3,56,120,16,80,-40
4,80,56,160,136,80
4,88,64,88,64,0
4,72,48,144,120,72
5,144,128,144,128,0
5,144,120,104,80,-40
5,120,104,104,88,-16
5,136,87,136,87,0
5,144,81,120,57,-24
5,128,88,129,89,1
5,160,119,161,120,1
5,120,105,168,153,48
5,96,88,80,72,-16
5,128,112,104,88,-24
5,112,104,113,105,1
5,80,96,56,72,-24
5,64,120,96,152,32
6,72,77,144,149,72
6,104,128,312,336,208
6,95,103,96,104,1
7,113,120,57,64,-56
7,132,168,88,124,-44
7,144,168,112,136,-32
7,80,80,656,656,576
7,119,169,95,145,-24
7,184,199,72,87,-112
7,104,160,80,136,-24
8,135,64,319,248,184
8,88,96,88,96,0
8,48,88,128,168,80
8,96,112,128,144,32
8,104,88,128,112,24
8,80,80,136,136,56
8,88,87,137,136,49
8,136,79,137,80,1
8,80,96,80,96,0
8,80,111,121,152,41
8,80,88,104,112,24
8,71,80,111,120,40
9,104,64,128,88,24
9,112,40,216,144,104
9,72,48,136,112,64
10,96,87,97,88,1
10,104,104,72,72,-32
10,136,112,64,40,-72
10,121,180,72,131,-49
10,104,112,104,112,0
10,104,153,840,889,736
10,120,176,144,200,24
11,48,104,160,216,112
11,64,88,184,208,120
11,56,56,232,232,176
11,56,87,201,232,145
11,64,80,232,248,168
12,80,88,24,32,-56
12,55,64,87,96,32
12,96,88,96,88,0
12,64,48,88,72,24
12,80,80,56,56,-24
12,65,64,144,143,79
12,72,112,128,168,56
12,72,88,72,88,0
12,48,88,128,168,80
12,80,88,48,56,-32
12,80,96,40,56,-40
12,96,88,72,64,-24
12,96,80,64,48,-32
13,79,72,103,96,24
13,79,96,95,112,16
13,72,112,40,80,-32
13,88,104,464,480,376
13,74,80,151,157,77
13,128,56,88,16,-40
13,104,97,72,65,-32
13,104,88,72,56,-32
13,88,96,48,56,-40
14,95,79,64,48,-31
14,72,80,48,56,-24
14,80,96,80,96,0
14,72,72,72,72,0
14,71,104,32,65,-39
14,63,55,40,32,-23
14,80,72,112,104,32
14,95,87,56,48,-39
14,112,80,72,40,-40
14,80,72,112,104,32
14,72,80,24,32,-48
14,88,80,48,40,-40
14,88,80,64,56,-24
14,112,128,40,56,-72
14,48,40,64,56,16
14,95,80,72,57,-23
15,79,56,79,56,0
15,80,32,113,65,33
15,72,80,104,112,32
15,72,81,871,880,799
15,80,64,80,64,0
15,96,48,256,208,160
15,80,73,96,89,16
15,80,104,128,152,48
15,88,72,88,72,0
15,71,64,88,81,17
15,104,72,104,72,0
15,40,136,96,192,56
15,88,72,120,104,32
15,88,56,88,56,0
15,73,56,73,56,0
15,88,72,80,64,-8
15,81,47,81,47,0
16,96,112,128,144,32
16,111,120,127,136,16
16,104,136,240,272,136
16,120,112,184,176,64
16,104,104,152,152,48
16,95,136,288,329,193
16,88,80,800,792,712
16,112,120,113,121,1
16,80,119,81,120,1
16,88,128,88,128,0
17,155,176,155,176,0
17,168,144,168,144,0
17,160,152,136,128,-24
17,152,112,152,112,0
17,152,136,168,152,16
17,152,96,128,72,-24
17,144,144,216,216,72
17,184,136,536,488,352
17,152,128,184,160,32
17,112,120,144,152,32
18,128,104,64,40,-64
18,96,120,24,48,-72
18,72,71,352,351,280
18,96,128,48,80,-48
18,72,128,16,72,-56
18,120,95,64,39,-56
18,128,112,48,32,-80
18,112,112,48,48,-64
18,113,97,72,56,-41
18,104,112,48,56,-56
18,128,104,48,24,-80
18,96,96,48,48,-48
18,72,64,136,128,64
18,128,128,48,48,-80
18,104,104,56,56,-48
18,111,119,72,80,-39
18,112,136,48,72,-64
18,112,104,80,72,-32
19,88,72,64,48,-24
19,104,104,104,104,0
19,96,88,64,56,-32
19,80,88,80,88,0
19,89,87,89,87,0
19,72,56,136,120,64
19,64,72,168,176,104
19,80,48,112,80,32
19,88,80,88,80,0
19,72,72,96,96,24
19,72,96,120,144,48
19,88,89,88,89,0
20,83,109,83,109,0
20,72,112,96,136,24
20,88,112,144,168,56
20,80,112,144,176,64
20,105,119,105,119,0
20,80,137,81,138,1
20,80,129,159,208,79
20,71,152,134,215,63
20,72,128,48,104,-24
20,112,88,112,88,0
20,88,80,103,95,15
20,104,120,40,56,-64
20,72,112,152,192,80
20,88,120,88,120,0
20,103,96,96,89,-7
20,80,103,81,104,1
20,56,112,24,80,-32
20,96,104,96,104,0
20,80,119,80,119,0
20,104,136,128,160,24
21,130,120,72,62,-58
21,112,87,87,62,-25
21,104,96,88,80,-16
21,104,72,104,72,0
21,89,128,73,112,-16
21,96,64,96,64,0
21,120,104,96,80,-24
21,104,80,104,80,0
21,88,105,120,137,32
21,96,128,64,96,-32
21,97,79,97,79,0
21,72,96,120,144,48
21,88,80,72,64,-16
21,96,88,96,88,0
21,104,56,88,40,-16
21,88,87,88,87,0
21,90,80,104,94,14
21,96,88,96,88,0
22,88,96,1408,1416,1320
22,88,80,88,80,0
22,88,24,120,56,32
22,95,80,47,32,-48
22,88,88,512,512,424
22,96,88,96,88,0
22,80,104,56,80,-24
22,87,97,71,81,-16
22,64,88,88,112,24
22,56,80,128,152,72
22,72,88,72,88,0
22,128,96,88,56,-40
22,73,64,105,96,32
22,96,96,120,120,24
22,80,72,96,88,16
22,96,88,88,80,-8
22,88,136,40,88,-48
23,96,104,248,256,152
23,64,80,64,80,0
23,88,64,88,64,0
23,80,104,128,152,48
23,80,103,113,136,33
23,88,95,89,96,1
23,72,88,1272,1288,1200
23,40,104,424,488,384
24,128,64,128,64,0
24,136,80,136,80,0
24,119,72,167,120,48
24,120,32,136,48,16
24,120,64,88,32,-32
24,112,56,112,56,0
24,112,32,168,88,56
24,120,56,408,344,288
24,136,88,344,296,208
24,128,103,177,152,49
24,104,80,120,96,16
24,127,112,191,176,64
24,144,104,144,104,0
24,136,104,32,0,-104
24,120,88,152,120,32
24,104,72,128,96,24
24,120,80,176,136,56
25,80,88,80,88,0
26,104,104,56,56,-48
26,144,80,88,24,-56
26,128,104,72,48,-56
26,120,96,80,56,-40
26,104,88,120,104,16
26,120,112,72,64,-48
26,104,64,128,88,24
26,105,95,105,95,0
26,128,152,696,720,568
26,96,72,96,72,0
26,112,128,64,80,-48
26,111,96,79,64,-32
26,136,112,72,48,-64
27,104,112,128,136,24
27,136,120,160,144,24
27,96,128,96,128,0
28,72,72,120,120,48
28,72,64,104,96,32
28,96,48,288,240,192
28,96,40,152,96,56
28,72,55,104,87,32
28,104,119,105,120,1
28,89,79,842,832,753
28,72,72,64,64,-8
28,80,72,112,104,32
28,72,72,232,232,160
28,87,56,87,56,0
28,72,56,72,56,0
28,88,80,88,80,0
29,148,125,112,89,-36
29,136,136,272,272,136
29,136,128,136,128,0
29,136,80,176,120,40
29,152,136,152,136,0
29,152,128,152,128,0
29,160,104,160,104,0
29,160,144,136,120,-24
29,152,72,120,40,-32
29,144,104,144,104,0
29,152,144,152,144,0
29,136,128,136,128,0
29,152,144,120,112,-32
29,168,96,168,96,0
29,160,136,160,136,0
30,81,72,168,159,87
30,64,56,144,136,80
30,72,72,264,264,192
30,97,64,160,127,63
30,88,64,136,112,48
30,80,56,168,144,88
30,104,64,168,128,64
30,72,64,144,136,72
30,88,56,152,120,64
30,64,56,392,384,328
30,72,56,136,120,64
30,79,79,112,112,33
